imagePath,label,Shape_num,point1_x,point1_y,point2_x,point2_y,AllPixelMeanR,AllPixelMeanG,AllPixelMeanB,bBoxMeanR,bBoxMeanG,bBoxMeanB,eBoxMeanR,eBoxMeanG,eBoxMeanB
3408385,can,1,857.9993600000001,666.0,1753.9993600000005,909.99936,176,173,171,76,90,145,176,173,171
3409007,paper,1,822.0006399999997,575.9992799999997,1878.378378378378,761.126126126126,180,177,175,162,161,169,180,177,175
3409211,paper,1,933.99936,581.9997599999999,1418.00064,921.9996,203,200,198,120,119,121,203,200,198
3414412,glass,3,1054.0019200000002,672.00048,1402.0006400000002,964.0008,127,126,119,98,108,119,127,126,119
3414412,glass,3,1052.0,393.99984000000006,1556.0,771.9998400000001,127,126,119,98,108,119,127,126,119
3414412,glass,3,1444.0,450.0,1730.00064,1017.99936,127,126,119,98,108,119,127,126,119
3414451,glass,2,1111.9999999999995,708.0004799999999,1457.9993599999996,1010.00016,133,131,124,112,116,117,133,131,124
3414451,glass,2,1117.99936,430.00056000000006,1615.99872,820.00008,133,131,124,112,116,117,133,131,124
3414718,glass,2,1290.0079305555423,384.6541909404773,1771.3436940740546,923.9997600000004,133,132,125,106,125,125,133,132,125
3414718,glass,2,1133.999104,417.99959999999993,1327.998976,1000.00008,133,132,125,106,125,125,133,132,125
3414840,glass,1,1188.00064,454.0003200000001,1336.00064,886.0003200000001,139,137,130,125,122,119,139,137,130
3414906,glass,1,1041.9993599999991,601.8808139654748,1611.998719999999,784.0007999999991,134,132,124,132,140,136,134,132,124
3415333,pack,5,1026.00064,514.7653203189886,1293.99936,994.00032,94,91,83,133,151,160,94,91,83
3415333,pack,5,1271.999104,619.99992,1509.998976,941.99976,94,91,83,133,151,160,94,91,83
3415333,pack,5,1251.9987200000005,385.9999200000001,1545.9993600000005,626.0004000000001,94,91,83,133,151,160,94,91,83
3415333,pack,5,1564.000384,618.0004799999999,1818.000256,946.0008,94,91,83,133,151,160,94,91,83
3415333,pack,5,1536.0,372.00024,1846.00064,635.9997599999999,94,91,83,133,151,160,94,91,83
3415582,pack,1,1247.9999999999995,476.0006399999999,1638.0006399999995,792.0,109,108,98,146,148,139,109,108,98
3415665,pack,1,1276.0,547.99992,1533.99936,856.00008,108,106,100,132,134,129,108,106,100
3415710,pack,1,1305.9993600000005,441.99936,1577.9993600000005,953.9999999999998,102,100,93,131,137,132,102,100,93
3415829,pack,2,1049.9993599999998,470.0001600000001,1353.9993599999998,856.0008,97,94,86,124,134,135,97,94,86
3415829,pack,2,1344.0,504.00000000000006,1616.0,1017.99936,97,94,86,124,134,135,97,94,86
3415886,can,3,1119.6969696969695,804.040404040404,1299.3990032,1041.2999999999995,154,147,138,147,140,139,154,147,138
3415886,pet,3,1277.1485759999937,541.3979275792612,1628.6999999999923,1230.425711999998,154,147,138,147,140,139,154,147,138
3415886,can,3,1083.3333333333333,517.6767676767677,1347.2131147540983,779.6721311475409,154,147,138,147,140,139,154,147,138
3415960,glass,2,1067.9995727999992,661.58890171567,1274.924715199999,950.0757119999996,154,146,138,127,143,150,154,146,138
3415960,vinyl,2,1250.4500000000005,551.80089,1615.35,1003.475178,154,146,138,127,143,150,154,146,138
3416012,pack,1,865.99936,571.99968,1243.99872,859.9996800000001,114,112,104,132,135,129,114,112,104
3416025,pet,2,1366.1514239999997,500.625,1662.0757119999996,1170.350712,150,143,134,140,154,164,150,143,134
3416025,vinyl,2,1032.4,614.1002669999998,1395.0757119999998,1052.4250889999998,150,143,134,140,154,164,150,143,134
3416062,pack,2,780.0,594.0007200000001,1072.00128,970.00056,106,103,93,147,157,155,106,103,93
3416062,pack,2,1042.00064,660.0002399999998,1366.00192,914.0004,106,103,93,147,157,155,106,103,93
3416140,pack,2,972.0,535.99968,1306.0006399999995,797.9990399999999,96,93,85,125,133,133,96,93,85
3416140,pack,2,840.0012800000001,779.99976,1396.0,1128.0002399999998,96,93,85,125,133,133,96,93,85
3416362,pack,2,1242.00064,390.00096,1624.00128,796.00032,104,101,94,135,151,154,104,101,94
3416362,pack,2,971.99872,509.99976,1505.99936,961.99992,104,101,94,135,151,154,104,101,94
3416384,paper,1,1208.174288,607.4255340000001,1584.198576,1112.50089,154,145,135,170,133,115,154,145,135
3416475,can,2,1379.500712,716.4504450000002,1570.850712,979.000623,152,145,137,141,134,132,152,145,137
3416475,can,2,1145.875,738.699822,1363.9250000000002,974.549466,152,145,137,141,134,132,152,145,137
3416730,glass,1,1317.1990032,676.4004449999999,1421.7738608000002,934.500267,151,145,138,141,137,131,151,145,138
3416787,vinyl,1,1232.65,622.9993770000001,1557.9908675799088,1028.7671232876712,153,146,138,142,153,160,153,146,138
3416927,pack,3,1400.925925925926,407.1481481481481,1680.00128,751.99968,98,95,88,127,141,144,98,95,88
3416927,pack,3,1120.00128,493.9992,1397.2222222222222,1004.1851851851852,98,95,88,127,141,144,98,95,88
3416927,pack,3,1375.036397037037,730.074634074074,1688.3333333333333,982.7037037037036,98,95,88,127,141,144,98,95,88
3416998,paper,1,1130.3738317757009,602.8037383177569,1686.9158878504672,1006.07476635514,157,147,133,135,138,146,157,147,133
3417162,pack,2,1424.00128,501.99912000000006,1714.00064,885.9996000000001,98,95,86,128,141,141,98,95,86
3417162,pack,2,1159.9987199999998,472.0003199999999,1429.9993599999998,990.0,98,95,86,128,141,141,98,95,86
3417275,pack,2,1386.0006400000002,599.9990399999999,1657.2222222222222,947.148148148148,100,97,88,139,153,156,100,97,88
3417275,pack,2,1083.148148148148,573.8148148148148,1378.0006399999995,936.0007200000002,100,97,88,139,153,156,100,97,88
3417375,pack,2,1119.99872,581.9997599999999,1396.0,921.9996,104,102,95,142,151,151,104,102,95
3417375,pack,2,1388.0012799999995,563.0438973755786,1670.0006399999993,922.0003199999994,104,102,95,142,151,151,104,102,95
3417456,paper,1,1259.348576,587.398932,1586.4242880000002,1056.8746439999998,150,143,135,156,158,160,150,143,135
3417504,paper,1,1237.098576,565.149555,1555.274288,1027.949733,153,144,133,156,157,158,153,144,133
3417597,paper,1,1283.824288,607.4255340000001,1568.624288,1012.37589,154,146,138,162,156,140,154,146,138
3417747,paper,2,972.325712,505.075356,1504.8760330578514,1122.7603305785124,112,100,80,124,173,193,112,100,80
3417747,pack,2,1486.2988607999998,562.9251780000001,1715.4740031999995,1034.624466,112,100,80,124,173,193,112,100,80
3417974,plastic,2,1272.7009967999998,658.1881180909295,1452.9261392,947.8497329999992,154,144,128,148,144,135,154,144,128
3417974,plastic,2,1319.3078079455106,658.3553007534682,1335.2941176470588,726.3157894736842,154,144,128,148,144,135,154,144,128
3418039,pack,5,1331.9987200000005,478.0008,1587.9987200000005,672.00048,119,119,114,151,168,169,119,119,114
3418039,pack,5,1321.6666666666663,652.3333333333333,1518.6660266666668,968.7404207407412,119,119,114,151,168,169,119,119,114
3418039,pack,5,941.9997440000002,613.9994399999999,1195.9996160000003,1007.99928,119,119,114,151,168,169,119,119,114
3418039,pack,5,1133.5185185185185,584.1851851851851,1328.001024,957.9996,119,119,114,151,168,169,119,119,114
3418039,pack,5,1461.9993600000005,675.3331733333332,1706.111111111111,1008.6296296296296,119,119,114,151,168,169,119,119,114
3418161,pack,3,1438.814558814815,467.4813214814813,1653.5185185185185,873.074074074074,127,127,121,143,154,156,127,127,121
3418161,pack,3,1252.2969362962965,612.5186785185186,1477.9629629629628,901.9629629629628,127,127,121,143,154,156,127,127,121
3418161,pack,3,1028.0,534.00024,1324.0,954.00072,127,127,121,143,154,156,127,127,121
3418170,paper,1,1219.3,558.4740209999999,1593.1,1065.774555,153,144,133,144,143,145,153,144,133
3418243,paper,1,1225.974288,556.2504450000001,1601.998576,1059.1006230000005,150,144,135,143,150,157,150,144,135
3418310,paper,1,1192.6014240000002,547.350534,1579.75,1047.9755340000002,154,147,138,148,139,133,154,147,138
3418872,vinyl,1,1141.4257120000002,489.500712,1613.1257120000002,1090.250712,154,146,139,154,152,149,154,146,139
3419006,plastic,1,1292.7259968,667.500534,1521.9011392,847.725534,125,111,91,136,134,123,125,111,91
3419089,plastic,1,1179.2514239999998,696.424644,1499.651424,945.625356,126,111,92,140,140,137,126,111,92
3419342,plastic,1,1063.5500000000002,549.57411,1652.809917355372,1102.099173553719,126,110,87,142,110,59,126,110,87
3419402,pack,2,1518.870408969697,590.0319071818183,1747.8787878787878,1059.3939393939393,119,105,82,136,127,84,119,105,82
3419402,plastic,2,974.5499999999996,560.6999999999999,1547.2727272727273,1105.4545454545453,119,105,82,136,127,84,119,105,82
3419516,plastic,1,1239.3245728000002,658.600623,1512.9997152,932.275089,120,106,87,141,152,143,120,106,87
3419944,paper,1,968.0012800000004,439.9992,1722.0006400000004,915.99984,121,117,113,181,160,172,121,117,113
3420023,paper,1,933.99936,518.0003999999999,1738.00064,822.0002399999998,132,127,122,180,148,158,132,127,122
3420097,paper,1,1006.0006400000004,465.9998399999999,1761.9993600000005,933.99984,136,129,126,194,137,155,136,129,126
3420238,paper,2,1006.6056820168064,438.6270026905828,1884.0012799999995,1005.9998399999988,140,135,128,125,135,146,140,135,128
3420238,paper,2,1031.510685042017,341.9992799999999,1775.6666666666667,1082.6666666666667,140,135,128,125,135,146,140,135,128
3421497,paper,3,986.00064,887.99976,1304.0,1084.6666666666667,129,123,118,150,108,122,129,123,118
3421497,paper,3,966.00064,362.0001600000001,1808.0,888.0004800000002,129,123,118,150,108,122,129,123,118
3421497,paper,3,1310.1176470588232,880.358744394619,1837.176470588235,1018.1165919282512,129,123,118,150,108,122,129,123,118
3421676,paper,3,934.0006400000002,488.00016,1673.9993600000005,686.00016,123,123,116,108,139,133,123,123,116
3421676,paper,3,928.0,689.99976,1254.00064,912.00024,123,123,116,108,139,133,123,123,116
3421676,paper,3,1251.99872,653.99976,1667.99872,943.99992,123,123,116,108,139,133,123,123,116
3422205,paper,3,836.0,445.9996799999999,1100.0,724.00032,122,118,113,152,164,176,122,118,113
3422205,paper,3,822.00064,719.9907832053577,1519.9999999999995,900.0000000000002,122,118,113,152,164,176,122,118,113
3422205,paper,3,1068.43871333249,562.1627655089166,1660.0012800000131,701.2703947023894,122,118,113,152,164,176,122,118,113
3422289,paper,3,965.9993599999998,466.000344,1498.0006399999995,604.000296,128,119,114,186,94,112,128,119,114
3422289,paper,3,844.0012800000011,583.2376681614352,1812.5216484033624,925.1386934529144,128,119,114,186,94,112,128,119,114
3422289,paper,3,886.3193277310925,908.3408071748876,1525.2436974789916,1026.7264573991029,128,119,114,186,94,112,128,119,114
3422403,pack,3,1296.0,423.9993600000001,1590.00064,630.0,134,125,121,194,95,116,134,125,121
3422403,pack,3,910.00064,437.99976,1262.0006400000002,647.99928,134,125,121,194,95,116,134,125,121
3422403,paper,3,797.9920694444587,623.99952,1803.9987200000005,983.99952,134,125,121,194,95,116,134,125,121
3422653,paper,5,974.9699482352936,816.5023740437881,1282.3529411764705,1131.8235294117646,128,128,122,97,111,116,128,128,122
3422653,paper,5,1331.9999999999995,477.99936,1589.9993599999996,787.9996799999999,128,128,122,97,111,116,128,128,122
3422653,paper,5,1248.00128,790.0005599999998,1544.0012799999995,1080.00072,128,128,122,97,111,116,128,128,122
3422653,paper,5,882.00064,680.0004000000001,1354.00064,826.0005600000002,128,128,122,97,111,116,128,128,122
3422653,paper,5,956.3235294117646,452.0001600000001,1308.3235294117646,694.0008000000001,128,128,122,97,111,116,128,128,122
3422927,paper,1,853.99936,593.9999999999998,1569.99808,877.9996799999998,122,118,110,148,160,175,122,118,110
