imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3403658,can,1,2272,4032,999,1701,1295,2224,1.69,167,162,157
3404065,can,1,2268,4032,1018,1720,1284,2279,1.63,142,137,130
3404070,can,1,2268,4032,961,1603,1356,2047,1.92,160,147,137
3404277,can,1,2268,4032,643,1761,1729,2401,7.6,162,144,127
3404442,can,1,2268,4032,749,1450,1521,2564,9.4,176,174,170
3404453,can,1,2268,4032,1046,1622,1332,2208,1.83,207,205,204
3404489,can,1,2268,4032,967,1452,1298,2208,2.74,184,181,178
3404521,can,1,2268,4032,987,1624,1285,2252,2.05,189,186,182
3405024,can,1,2268,4032,800,1676,1336,2444,4.5,134,122,109
3405066,can,1,2268,4032,983,1688,1348,2123,1.74,141,130,116
3405234,can,1,1440,2560,544,1004,869,1663,5.81,174,157,126
3405244,can,1,2268,4032,934,1141,1410,2560,7.39,182,179,174
3405334,can,1,1836,3264,649,1369,1057,1844,3.23,149,128,94
3405394,can,1,1836,3264,760,1342,1139,1831,3.09,166,145,112
3405933,can,1,2250,4000,928,1481,1209,1906,1.33,131,130,128
3405997,can,1,2250,4000,1000,1516,1228,1969,1.15,131,128,126
3406071,can,1,2268,4032,980,1666,1260,2419,2.31,162,149,137
3406200,can,1,2268,4032,1017,1619,1279,2403,2.25,149,129,115
3406213,can,1,2268,4032,961,1795,1263,2526,2.41,161,147,135
3406262,can,1,2268,4032,1049,1540,1384,2406,3.17,166,154,144
3406270,can,1,2268,4032,946,1367,1299,2296,3.59,169,156,145
3406311,can,1,2268,4032,1002,1783,1266,2542,2.19,148,129,115
3406331,can,1,2268,4032,1063,1634,1404,2204,2.13,159,158,155
3406688,can,1,2268,4032,838,1723,1402,2287,3.48,187,170,155
3406740,can,1,2268,4032,770,1418,1466,2451,7.86,135,107,87
3406853,can,1,2268,4032,885,1981,1386,2296,1.73,159,133,115
3406918,can,1,2268,4032,1027,1584,1266,2470,2.32,149,139,129
3406920,can,1,2268,4032,832,1947,1351,2255,1.75,157,131,114
3406936,can,1,2268,4032,869,766,1369,2680,10.47,111,128,97
3406948,can,1,2268,4032,976,1526,1228,2432,2.5,160,155,145
3406995,can,1,2610,4640,1147,1694,1644,2571,3.6,173,174,173
3407020,can,1,2268,4032,841,844,1355,2668,10.25,111,115,110
3407024,can,1,2250,4000,1056,1569,1281,2344,1.94,156,149,146
3407047,can,1,2268,4032,849,810,1378,2686,10.85,106,106,102
3407073,can,1,2268,4032,958,1452,1428,2532,5.55,196,185,171
3407085,can,1,2268,4032,873,907,1421,2751,11.05,117,120,117
3407089,can,1,2252,4000,1012,1378,1243,2094,1.84,142,126,110
3407104,can,1,2268,4032,838,870,1398,2710,11.27,112,113,108
3407147,can,1,2268,4032,791,1080,1468,2668,11.76,118,119,116
3407213,can,1,1836,3264,765,1170,1122,1932,4.54,150,128,93
3407263,can,1,1440,2560,644,976,770,1436,1.57,143,126,110
3407270,can,1,2268,4032,902,1462,1347,2543,5.26,179,165,148
3407419,can,1,2268,4032,819,1707,1424,2403,4.6,163,159,150
3407453,can,1,1836,3264,706,1150,1221,1920,6.62,134,117,88
3407468,can,1,2268,4032,1062,1468,1499,2473,4.8,170,154,137
3407485,can,1,1836,3264,687,1244,1189,2116,7.3,165,140,102
3407506,can,1,4032,2268,1440,857,2567,1370,6.32,182,168,154
3407507,can,1,2252,4000,1000,1609,1218,2309,1.69,121,108,97
3407535,can,1,2268,4032,885,1386,1373,2687,6.94,181,167,155
3407562,can,1,2268,4032,1040,1732,1285,2240,1.36,176,173,168
3407570,can,1,2268,4032,863,1389,1329,2580,6.07,169,153,137
3407605,can,1,2268,4032,939,1364,1421,2630,6.67,197,188,177
3407785,can,1,2268,4032,907,1440,1329,2621,5.45,153,129,112
3407953,can,1,2268,4032,923,1613,1367,2514,4.37,142,136,127
3408029,can,1,2268,4032,958,1351,1427,2677,6.8,151,127,112
3408152,can,1,1836,3264,765,1244,1076,1935,3.59,155,136,104
3408235,can,1,1836,3264,643,1219,1188,1900,6.19,155,127,89
3408308,can,1,2268,4032,1055,1632,1304,2268,1.73,157,147,138
3408325,can,1,2268,4032,1030,1682,1266,2271,1.52,159,149,141
3408332,can,1,2268,4032,1049,1695,1257,2218,1.19,154,144,136
3408342,can,1,2268,4032,1040,1660,1254,2196,1.25,155,145,137
3408355,can,1,2268,4032,1043,1676,1254,2211,1.23,157,147,138
3408385,can,1,2560,1440,858,666,1754,910,5.93,183,178,173
3408584,can,1,3184,5664,1479,2319,1708,2788,0.6,163,170,179
3408661,can,1,2272,4032,911,1673,1494,2029,2.27,155,148,139
3408684,can,1,2592,4608,1102,1886,1710,2228,1.74,203,200,195
3408780,can,1,2250,4000,888,1559,1228,2119,2.12,150,147,145
3408920,can,1,2268,4032,986,1707,1238,2284,1.59,149,141,134
3408948,can,1,2268,4032,986,1723,1228,2296,1.52,149,142,135
3408962,can,1,2268,4032,1030,1707,1276,2281,1.54,145,138,131
3408969,can,1,2268,4032,1027,1717,1279,2287,1.57,151,143,136
3409019,can,1,2250,4000,844,1600,1270,2289,3.26,150,147,145
3409055,can,1,2250,4000,800,1450,1231,2303,4.08,151,149,147
3409112,can,1,2268,4032,1030,1805,1258,2247,1.1,146,139,133
3409124,can,1,2268,4032,1074,1843,1301,2293,1.12,150,143,137
3409136,can,1,2268,4032,1046,1833,1277,2287,1.15,151,144,137
3409150,can,1,2268,4032,1052,1824,1282,2281,1.15,149,143,136
3409170,can,1,2268,4032,1036,1877,1269,2331,1.16,148,141,135
3409217,can,1,2268,4032,832,1625,1392,2470,5.17,206,194,181
3409579,can,1,1836,3264,638,1316,1242,1943,6.32,162,142,108
3409669,can,1,2268,4032,913,1370,1370,2734,6.82,148,144,139
3409711,can,1,2268,4032,986,1805,1285,2101,0.97,194,190,183
3409758,can,1,2268,4032,961,1811,1226,2214,1.17,197,194,187
3409836,can,1,2268,4032,665,1040,1380,2614,12.31,110,100,94
3410141,can,1,2268,4032,939,1074,1314,2492,5.81,149,145,141
3410281,can,1,2268,4032,951,1717,1304,2287,2.2,189,174,156
3410319,can,1,2268,4032,1039,1748,1336,2230,1.57,196,181,163
3410351,can,1,2268,4032,1027,1852,1314,2202,1.1,196,181,163
3410390,can,1,2268,4032,1027,1606,1288,2259,1.86,187,169,149
3410426,can,1,2268,4032,1058,1647,1288,2133,1.22,183,166,147
3410453,can,1,2268,4032,1084,1717,1323,2192,1.24,187,170,150
3410489,can,1,2268,4032,1087,1638,1310,2218,1.41,191,174,156
3410555,can,1,2268,4032,989,1339,1263,2048,2.12,200,182,163
3410596,can,1,2268,4032,973,1638,1263,2208,1.81,189,171,151
3410625,can,1,2268,4032,1030,1698,1298,2221,1.53,198,180,161
3410656,can,1,2268,4032,1002,1981,1332,2492,1.84,198,181,162
3410685,can,1,2268,4032,1027,1881,1342,2391,1.76,179,161,141
3410728,can,1,2268,4032,992,1827,1273,2400,1.76,190,174,156
3410766,can,1,2268,4032,1087,1733,1373,2325,1.85,191,173,154
3410876,can,1,2268,4032,1055,1947,1336,2366,1.29,188,171,151
3410911,can,1,2268,4032,999,2007,1354,2473,1.81,195,178,159
3410940,can,1,2268,4032,1036,1855,1361,2281,1.51,187,170,152
3410982,can,1,2268,4032,970,2003,1178,2435,0.98,198,181,161
3411042,can,1,2268,4032,961,1921,1159,2375,0.98,186,169,150
3411079,can,1,2268,4032,1036,1881,1418,2337,1.9,198,180,161
3411108,can,1,2268,4032,986,2066,1364,2520,1.88,199,182,162
3411135,can,1,2268,4032,1090,2098,1383,2517,1.34,191,175,156
3411182,can,1,4032,2268,1603,873,2671,1408,6.25,157,154,150
3411202,can,1,2268,4032,977,2007,1282,2441,1.45,199,183,164
3411264,can,1,2268,4032,902,1895,1244,2287,1.47,190,173,153
3411291,can,1,2268,4032,973,2060,1304,2243,0.66,194,178,160
3411331,can,1,2268,4032,942,1884,1298,2240,1.39,194,178,159
