imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y
3403540,pack,1,2272,4032,926,1682,1248,2284
3403658,can,1,2272,4032,999,1701,1295,2224
3403788,glass,1,4032,2272,1435,972,2672,1185
3403841,paper,1,2268,4032,860,1663,1515,2419
3403871,paper,1,2268,4032,861,1683,1493,2445
3403971,paper,1,2268,4032,684,1553,1676,2400
3404044,plastic,1,2592,4608,868,2225,1534,3103
3404065,can,1,2268,4032,1018,1720,1284,2279
3404070,can,1,2268,4032,961,1603,1356,2047
3404106,paper,1,2268,4032,961,1559,1425,2595
3404111,paper,1,2268,4032,662,1345,1588,2660
3404138,pack,1,2268,4032,1068,1739,1320,2177
3404188,paper,1,2268,4032,1005,1550,1348,2331
3404200,plastic,1,2272,4032,920,1852,1440,2199
3404245,plastic,1,2268,4032,1036,1676,1307,2322
3404247,plastic,1,2272,4032,1059,1862,1379,2190
3404277,can,1,2268,4032,643,1761,1729,2401
3404282,paper,1,2268,4032,624,1414,1643,2634
3404290,plastic,1,4032,2272,1944,1065,2192,1314
3404346,paper,1,2268,4032,684,1591,1629,2473
3404349,pet,1,2268,4032,806,1578,1203,2347
3404385,pet,1,2268,4032,1096,1502,1383,2388
3404388,vinyl,1,4032,2268,1192,594,2455,1362
3404394,pet,1,2268,4032,1002,1692,1216,2350
3404420,paper,1,2250,4000,628,1425,1631,2186
3404442,can,1,2268,4032,749,1450,1521,2564
3404444,plastic,1,2268,4032,778,1572,1433,2255
3404453,can,1,2268,4032,1046,1622,1332,2208
3404458,plastic,1,2268,4032,829,1674,1537,2161
3404488,paper,1,2250,4000,613,1312,1628,2409
3404489,can,1,2268,4032,967,1452,1298,2208
3404512,glass,1,2268,4032,990,1862,1503,2267
3404517,paper,1,2268,4032,764,1270,1720,2552
3404521,can,1,2268,4032,987,1624,1285,2252
3404522,vinyl,1,1836,3264,490,765,1336,2014
3404551,paper,1,2620,4656,953,1848,1696,2877
3404605,vinyl,1,2268,4032,740,1314,1556,2312
3404633,paper,1,2268,4032,662,1408,1490,2567
3404655,paper,1,2268,4032,775,1515,1487,2457
3404681,vinyl,1,2268,4032,737,1268,1578,2678
3404688,plastic,1,2268,4032,775,636,1622,1799
3404695,paper,1,2268,4032,879,1751,1386,2463
3404702,pack,1,2268,4032,964,1792,1222,2170
3404722,paper,1,4032,2268,1625,649,2243,1465
3404745,paper,1,2268,4032,787,1559,1433,2426
3404761,paper,1,2620,4656,1060,1935,1615,2741
3404766,plastic,1,2268,4032,980,1742,1446,2422
3404790,paper,1,2268,4032,614,1358,1531,2539
3404820,glass,1,2268,4032,964,1695,1241,2718
3404821,plastic,1,2268,4032,750,747,1320,1811
3404832,paper,1,2268,4032,812,1565,1440,2435
3404838,paper,1,2268,4032,547,1245,1873,3067
3404850,pack,1,2250,4000,666,1428,1575,2284
3404862,paper,1,2268,4032,639,1531,1575,2240
3404879,paper,1,2268,4032,725,1402,1515,2470
3404919,paper,1,1836,3264,525,1382,1295,2104
3404954,paper,1,2268,4032,750,1373,1440,2032
3404972,vinyl,1,2250,4000,822,1281,1569,2238
3404995,vinyl,1,2268,4032,816,1506,1550,2492
3404997,paper,1,2268,4032,838,1493,1307,2161
3405000,paper,1,2268,4032,866,1487,1599,2499
3405024,can,1,2268,4032,800,1676,1336,2444
3405025,pet,1,4032,2268,1732,740,1994,1566
3405043,paper,1,2268,4032,961,1254,1367,2255
3405046,paper,1,2268,4032,859,1820,1377,2350
3405056,paper,1,2268,4032,806,1578,1584,2170
3405059,paper,1,2268,4032,649,1638,1546,2637
3405066,can,1,2268,4032,983,1688,1348,2123
3405075,paper,1,2268,4032,558,1531,1701,2523
3405083,vinyl,1,1836,3264,666,1357,1221,1785
3405091,paper,1,2268,4032,832,1468,1452,2413
3405093,pet,1,2268,4032,718,1755,1459,1995
3405102,paper,1,2268,4032,777,1543,1451,2051
3405126,vinyl,1,1836,3264,467,1377,1291,1851
3405153,paper,1,2268,4032,756,1742,1629,2340
3405163,vinyl,1,2268,4032,630,1191,1644,2432
3405168,paper,1,2268,4032,960,1673,1265,2208
3405173,pack,1,2268,4032,779,1676,1455,2003
3405178,paper,1,2268,4032,866,1967,1311,2136
3405185,pack,1,2268,4032,1030,1745,1323,2040
3405186,paper,1,2268,4032,805,1548,1489,2515
3405203,pack,1,2268,4032,922,1562,1711,2002
3405207,paper,1,2268,4032,683,1550,1492,2353
3405232,paper,1,2268,4032,872,1515,1364,2398
3405234,can,1,1440,2560,544,1004,869,1663
3405238,plastic,1,2250,4000,979,1410,1341,2368
3405241,paper,1,1836,3264,661,1183,1321,1853
3405244,can,1,2268,4032,934,1141,1410,2560
3405251,pack,1,2250,4000,686,715,1307,2653
3405252,plastic,1,2268,4032,1118,1804,1323,2193
3405255,paper,1,2268,4032,932,1912,1480,2211
3405258,vinyl,1,2268,4032,835,1649,1542,2413
3405274,paper,1,2268,4032,983,1446,1249,2430
3405278,pet,1,2268,4032,934,1525,1246,2670
3405282,vinyl,1,2268,4032,866,1707,1503,2432
3405311,paper,1,2268,4032,610,1371,1616,2600
3405312,plastic,1,2268,4032,939,1165,1288,2672
3405318,vinyl,1,2268,4032,851,1849,1405,2274
3405334,can,1,1836,3264,649,1369,1057,1844
3405356,paper,1,2268,4032,989,1499,1355,2182
3405357,pack,1,2250,4000,934,1730,1402,2109
3405360,paper,1,2268,4032,1071,1789,1310,2082
3405368,paper,1,2268,4032,803,1402,1584,2520
3405371,paper,1,2268,4032,1119,1860,1317,2422
3405394,can,1,1836,3264,760,1342,1139,1831
3405411,glass,1,2268,4032,981,1382,1346,2627
3405424,plastic,1,2268,4032,963,1501,1193,2253
3405447,pet,1,2250,4000,1034,1400,1279,2371
3405461,vinyl,1,2268,4032,702,1147,1589,2595
3405467,plastic,1,2268,4032,765,816,1613,2750
3405477,pack,1,1836,3264,523,1397,1336,1999
3405482,paper,1,2268,4032,731,1474,1538,2618
3405489,plastic,1,2268,4032,945,1606,1288,1944
3405529,plastic,1,2268,4032,860,1481,1354,1950
3405534,paper,1,2268,4032,712,1015,1574,2493
3405549,paper,1,2268,4032,746,1486,1629,2440
3405580,paper,1,2268,4032,753,1576,1498,2586
3405597,paper,1,2268,4032,929,1288,1291,2085
3405602,plastic,1,2250,4000,859,1647,1403,2206
3405603,paper,1,2268,4032,671,1673,1562,2356
3405645,paper,1,2268,4032,633,1314,1811,2485
3405664,plastic,1,2268,4032,860,1852,1550,2463
3405671,plastic,1,2268,4032,1100,1459,1327,1900
3405673,vinyl,1,1836,3264,568,1041,1160,1946
3405675,pet,1,2268,4032,971,1399,1359,2602
3405677,pack,1,2268,4032,797,1619,1499,2388
3405685,pet,1,2268,4032,942,1405,1285,2558
3405694,paper,1,2268,4032,643,1411,1474,2596
3405699,pet,1,2268,4032,967,1430,1320,2611
3405708,pack,1,2268,4032,781,1786,1537,2561
3405711,pet,1,2268,4032,948,1400,1296,2562
3405712,glass,1,2268,4032,973,1426,1269,2598
3405720,plastic,1,2268,4032,593,1579,1598,2365
3405728,plastic,1,2322,4128,888,1542,1407,2548
3405738,plastic,1,2268,4032,676,1455,1564,2243
3405745,pet,1,2268,4032,1007,1382,1343,2518
3405752,paper,1,2268,4032,652,1364,1688,2854
3405761,paper,1,2268,4032,706,1402,1632,1978
3405764,pack,1,2268,4032,970,1688,1228,1985
3405769,pet,1,2268,4032,936,1421,1291,2602
3405778,glass,1,2268,4032,914,1484,1340,2622
