,imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio
0,3403540,pack,1,2272,4032,926,1682,1248,2284,2.12
1,3403658,can,1,2272,4032,999,1701,1295,2224,1.69
2,3403788,glass,1,4032,2272,1435,972,2672,1185,2.88
3,3403841,paper,1,2268,4032,860,1663,1515,2419,5.42
4,3403871,paper,1,2268,4032,861,1683,1493,2445,5.27
5,3403971,paper,1,2268,4032,684,1553,1676,2400,9.19
6,3404044,plastic,1,2592,4608,868,2225,1534,3103,4.9
7,3404065,can,1,2268,4032,1018,1720,1284,2279,1.63
8,3404070,can,1,2268,4032,961,1603,1356,2047,1.92
9,3404106,paper,1,2268,4032,961,1559,1425,2595,5.26
10,3404111,paper,1,2268,4032,662,1345,1588,2660,13.32
11,3404138,pack,1,2268,4032,1068,1739,1320,2177,1.21
12,3404188,paper,1,2268,4032,1005,1550,1348,2331,2.93
13,3404200,plastic,1,2272,4032,920,1852,1440,2199,1.97
14,3404245,plastic,1,2268,4032,1036,1676,1307,2322,1.91
15,3404247,plastic,1,2272,4032,1059,1862,1379,2190,1.15
16,3404277,can,1,2268,4032,643,1761,1729,2401,7.6
17,3404282,paper,1,2268,4032,624,1414,1643,2634,13.59
18,3404290,plastic,1,4032,2272,1944,1065,2192,1314,0.67
19,3404346,paper,1,2268,4032,684,1591,1629,2473,9.11
20,3404349,pet,1,2268,4032,806,1578,1203,2347,3.34
21,3404385,pet,1,2268,4032,1096,1502,1383,2388,2.78
22,3404388,vinyl,1,4032,2268,1192,594,2455,1362,10.61
23,3404394,pet,1,2268,4032,1002,1692,1216,2350,1.54
24,3404420,paper,1,2250,4000,628,1425,1631,2186,8.48
25,3404442,can,1,2268,4032,749,1450,1521,2564,9.4
26,3404444,plastic,1,2268,4032,778,1572,1433,2255,4.89
27,3404453,can,1,2268,4032,1046,1622,1332,2208,1.83
28,3404458,plastic,1,2268,4032,829,1674,1537,2161,3.77
29,3404488,paper,1,2250,4000,613,1312,1628,2409,12.37
30,3404489,can,1,2268,4032,967,1452,1298,2208,2.74
31,3404512,glass,1,2268,4032,990,1862,1503,2267,2.27
32,3404517,paper,1,2268,4032,764,1270,1720,2552,13.4
33,3404521,can,1,2268,4032,987,1624,1285,2252,2.05
34,3404522,vinyl,1,1836,3264,490,765,1336,2014,17.63
35,3404551,paper,1,2620,4656,953,1848,1696,2877,6.27
36,3404605,vinyl,1,2268,4032,740,1314,1556,2312,8.91
37,3404633,paper,1,2268,4032,662,1408,1490,2567,10.49
38,3404655,paper,1,2268,4032,775,1515,1487,2457,7.33
39,3404681,vinyl,1,2268,4032,737,1268,1578,2678,12.97
40,3404688,plastic,1,2268,4032,775,636,1622,1799,10.77
41,3404695,paper,1,2268,4032,879,1751,1386,2463,3.95
42,3404702,pack,1,2268,4032,964,1792,1222,2170,1.07
43,3404722,paper,1,4032,2268,1625,649,2243,1465,5.51
44,3404745,paper,1,2268,4032,787,1559,1433,2426,6.12
