imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3403540,pack,1,2272,4032,926,1682,1248,2284,2.12,169,164,158
3403658,can,1,2272,4032,999,1701,1295,2224,1.69,167,162,157
3403788,glass,1,4032,2272,1435,972,2672,1185,2.88,169,164,156
3403841,paper,1,2268,4032,860,1663,1515,2419,5.42,125,119,113
3403871,paper,1,2268,4032,861,1683,1493,2445,5.27,151,146,139
3403971,paper,1,2268,4032,684,1553,1676,2400,9.19,107,102,95
3404044,plastic,1,2592,4608,868,2225,1534,3103,4.9,152,145,141
3404065,can,1,2268,4032,1018,1720,1284,2279,1.63,142,137,130
3404070,can,1,2268,4032,961,1603,1356,2047,1.92,160,147,137
3404106,paper,1,2268,4032,961,1559,1425,2595,5.26,184,182,180
3404111,paper,1,2268,4032,662,1345,1588,2660,13.32,170,134,104
3404138,pack,1,2268,4032,1068,1739,1320,2177,1.21,203,200,198
3404188,paper,1,2268,4032,1005,1550,1348,2331,2.93,199,196,192
3404200,plastic,1,2272,4032,920,1852,1440,2199,1.97,168,163,157
3404245,plastic,1,2268,4032,1036,1676,1307,2322,1.91,158,152,144
3404247,plastic,1,2272,4032,1059,1862,1379,2190,1.15,170,166,161
3404277,can,1,2268,4032,643,1761,1729,2401,7.6,162,144,127
3404282,paper,1,2268,4032,624,1414,1643,2634,13.59,168,130,93
3404290,plastic,1,4032,2272,1944,1065,2192,1314,0.67,169,165,160
3404346,paper,1,2268,4032,684,1591,1629,2473,9.11,164,130,100
3404349,pet,1,2268,4032,806,1578,1203,2347,3.34,156,150,143
3404385,pet,1,2268,4032,1096,1502,1383,2388,2.78,150,144,137
3404388,vinyl,1,4032,2268,1192,594,2455,1362,10.61,176,175,170
3404394,pet,1,2268,4032,1002,1692,1216,2350,1.54,206,203,199
3404420,paper,1,2250,4000,628,1425,1631,2186,8.48,150,145,141
3404442,can,1,2268,4032,749,1450,1521,2564,9.4,176,174,170
3404444,plastic,1,2268,4032,778,1572,1433,2255,4.89,157,151,143
3404453,can,1,2268,4032,1046,1622,1332,2208,1.83,207,205,204
3404458,plastic,1,2268,4032,829,1674,1537,2161,3.77,184,179,172
3404488,paper,1,2250,4000,613,1312,1628,2409,12.37,136,131,127
3404489,can,1,2268,4032,967,1452,1298,2208,2.74,184,181,178
3404512,glass,1,2268,4032,990,1862,1503,2267,2.27,157,151,143
3404517,paper,1,2268,4032,764,1270,1720,2552,13.4,191,189,185
3404521,can,1,2268,4032,987,1624,1285,2252,2.05,189,186,182
3404522,vinyl,1,1836,3264,490,765,1336,2014,17.63,150,120,76
3404551,paper,1,2620,4656,953,1848,1696,2877,6.27,137,126,115
3404605,vinyl,1,2268,4032,740,1314,1556,2312,8.91,185,183,176
3404633,paper,1,2268,4032,662,1408,1490,2567,10.49,147,115,88
3404655,paper,1,2268,4032,775,1515,1487,2457,7.33,158,155,151
3404681,vinyl,1,2268,4032,737,1268,1578,2678,12.97,171,169,162
3404688,plastic,1,2268,4032,775,636,1622,1799,10.77,159,144,130
