imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y
3403788,glass,1,4032,2272,1435,972,2672,1185
3404512,glass,1,2268,4032,990,1862,1503,2267
3404820,glass,1,2268,4032,964,1695,1241,2718
3405411,glass,1,2268,4032,981,1382,1346,2627
3405712,glass,1,2268,4032,973,1426,1269,2598
3405778,glass,1,2268,4032,914,1484,1340,2622
3405881,glass,1,2268,4032,850,1550,1495,2550
3405964,glass,1,2268,4032,879,1414,1415,2629
3406037,glass,1,2268,4032,841,1449,1439,2523
3406717,glass,1,2610,4640,1051,1773,1678,2759
3406869,glass,1,2610,4640,1236,2016,1573,2856
3406915,glass,1,2268,4032,966,1327,1397,2707
3407076,glass,1,2268,4032,1027,1314,1301,2172
3407424,glass,1,2268,4032,1021,1506,1405,2174
3407676,glass,1,2268,4032,964,1874,1361,2410
3408575,glass,1,2268,4032,932,1477,1369,2602
3408682,glass,1,2268,4032,888,1386,1373,2826
3408719,glass,1,2268,4032,895,1682,1452,2611
3408793,glass,1,2268,4032,891,1654,1493,2744
3408806,glass,1,2268,4032,920,1849,1288,2536
3408879,glass,1,2268,4032,857,1531,1515,2964
3408933,glass,1,2268,4032,733,1613,1435,2721
3409013,glass,1,2268,4032,944,1458,1404,2794
3409066,glass,1,1836,3264,650,1364,1125,1935
3409098,glass,1,2268,4032,1024,1575,1232,2133
3409103,glass,1,1836,3264,627,1419,1184,1944
3409105,glass,1,2268,4032,929,1282,1339,2627
3409276,glass,1,1836,3264,592,1329,1221,2009
3409292,glass,1,2268,4032,545,1818,1701,2350
3409303,glass,1,1836,3264,683,1448,1137,1974
3409320,glass,1,2268,4032,1150,1736,1471,2016
3409322,glass,1,2268,4032,775,2003,1484,2375
3409326,glass,1,1836,3264,691,1331,1150,1907
3409774,glass,1,2988,5312,1140,1573,1710,3054
3409789,glass,1,2268,4032,844,1899,1443,2397
3410299,glass,1,2252,4000,1028,1562,1346,2463
3410653,glass,1,2252,4000,1040,1562,1409,2309
3412193,glass,1,2268,4032,1055,1556,1348,2649
3412229,glass,1,2268,4032,1077,1566,1395,2693
3412267,glass,1,2268,4032,1320,1603,1487,2107
3412279,glass,1,2268,4032,1106,1487,1291,1981
