imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y
3404044,plastic,1,2592,4608,868,2225,1534,3103
3404200,plastic,1,2272,4032,920,1852,1440,2199
3404245,plastic,1,2268,4032,1036,1676,1307,2322
3404247,plastic,1,2272,4032,1059,1862,1379,2190
3404290,plastic,1,4032,2272,1944,1065,2192,1314
3404444,plastic,1,2268,4032,778,1572,1433,2255
3404458,plastic,1,2268,4032,829,1674,1537,2161
3404688,plastic,1,2268,4032,775,636,1622,1799
3404766,plastic,1,2268,4032,980,1742,1446,2422
3404821,plastic,1,2268,4032,750,747,1320,1811
3405238,plastic,1,2250,4000,979,1410,1341,2368
3405252,plastic,1,2268,4032,1118,1804,1323,2193
3405312,plastic,1,2268,4032,939,1165,1288,2672
3405424,plastic,1,2268,4032,963,1501,1193,2253
3405467,plastic,1,2268,4032,765,816,1613,2750
3405489,plastic,1,2268,4032,945,1606,1288,1944
3405529,plastic,1,2268,4032,860,1481,1354,1950
3405602,plastic,1,2250,4000,859,1647,1403,2206
3405664,plastic,1,2268,4032,860,1852,1550,2463
3405671,plastic,1,2268,4032,1100,1459,1327,1900
3405720,plastic,1,2268,4032,593,1579,1598,2365
3405728,plastic,1,2322,4128,888,1542,1407,2548
3405738,plastic,1,2268,4032,676,1455,1564,2243
3405817,plastic,1,2268,4032,863,1833,1424,2492
3405844,plastic,1,2268,4032,954,1537,1161,2197
3405896,plastic,1,2268,4032,967,1644,1339,2101
3405899,plastic,1,2268,4032,816,1370,1503,2366
3405994,plastic,1,2250,4000,971,1715,1207,2231
3405996,plastic,1,2250,4000,1019,1688,1349,2311
3406017,plastic,1,2268,4032,841,1698,1430,2331
3406188,plastic,1,2268,4032,898,1632,1402,2296
3406318,plastic,1,2268,4032,743,1881,1553,2457
3406445,plastic,1,2268,4032,825,1761,1405,2337
3406559,plastic,1,4032,2268,1647,847,2448,1654
3406594,plastic,1,2268,4032,847,1654,1528,2331
3406650,plastic,1,2268,4032,910,1537,1468,2255
3406687,plastic,1,2268,4032,879,1594,1490,2378
3406833,plastic,1,2268,4032,633,1285,1786,2435
3407018,plastic,1,2268,4032,835,1956,1443,2340
3407237,plastic,1,2268,4032,1002,1632,1298,2325
3407251,plastic,1,2268,4032,920,1966,1421,2400
3407498,plastic,1,2268,4032,472,1424,1818,2731
3407519,plastic,1,2268,4032,485,1228,1767,2504
3407539,plastic,1,2268,4032,472,1282,1855,2614
3407554,plastic,1,2268,4032,504,1279,1802,2552
3407574,plastic,1,2268,4032,469,1203,1761,2466
3407629,plastic,1,1836,3264,617,1298,1377,2114
3407642,plastic,1,2268,4032,665,1597,1553,2419
3407652,plastic,1,1836,3264,732,1341,1160,1844
3407672,plastic,1,2620,4656,1146,1921,1532,2608
3407792,plastic,1,2268,4032,1017,1755,1320,2385
3407842,plastic,1,2268,4032,989,1468,1276,2315
3407849,plastic,1,2268,4032,520,1575,1846,2385
3407868,plastic,1,2268,4032,504,1446,1874,2277
3407882,plastic,1,2268,4032,466,1399,1840,2233
3407884,plastic,1,2268,4032,920,1566,1288,2290
3407901,plastic,1,2268,4032,501,1411,1868,2249
3407914,plastic,1,2268,4032,504,1427,1877,2274
3408035,plastic,1,2268,4032,876,1584,1480,2570
3408093,plastic,1,4032,2272,1651,870,2300,1346
3408204,plastic,1,2268,4032,775,1581,1427,2681
3408254,plastic,1,2268,4032,917,1616,1465,2504
3408257,plastic,1,2268,4032,592,1509,1663,2460
3408260,plastic,1,2268,4032,810,1115,1572,2044
3408279,plastic,1,2268,4032,599,1537,1676,2495
3408296,plastic,1,2268,4032,564,1572,1707,2586
3408302,plastic,1,2268,4032,929,1666,1481,2536
3408314,plastic,1,2268,4032,586,1537,1684,2512
3408331,plastic,1,2268,4032,583,1581,1673,2545
3408351,plastic,1,2268,4032,964,1685,1427,1984
3408367,plastic,1,2272,4032,873,1808,1576,2296
3408442,plastic,1,2268,4032,1021,1584,1367,2114
3408499,plastic,1,2268,4032,986,1641,1225,2274
3408541,plastic,1,2268,4032,954,1550,1336,2123
3408556,plastic,1,2268,4032,580,1468,1950,2640
3408561,plastic,1,2268,4032,1011,1669,1348,2173
3408565,plastic,1,2268,4032,999,1666,1317,2145
3408581,plastic,1,2268,4032,1008,1673,1339,2174
3408590,plastic,1,2268,4032,999,1701,1336,2199
3408600,plastic,1,2272,4032,876,1635,1516,2435
3408602,plastic,1,2268,4032,772,1411,1525,2558
3408637,plastic,1,1836,3264,691,1252,1193,1752
3408647,plastic,1,2268,4032,863,1455,1446,2589
3408662,plastic,1,2268,4032,718,1666,1600,2539
3408711,plastic,1,1836,3264,558,1227,1306,1933
3408725,plastic,1,2268,4032,709,1433,1659,2291
3408751,plastic,1,2268,4032,822,1506,1222,2029
3408758,plastic,1,2268,4032,986,1458,1262,1824
3408788,plastic,1,2268,4032,1084,1739,1348,2227
3408811,plastic,1,1440,2560,567,1021,1012,1569
3408813,plastic,1,2268,4032,983,1462,1244,2151
3408815,plastic,1,2268,4032,961,1606,1235,1953
3408830,plastic,1,2268,4032,1093,1751,1320,2277
3408833,plastic,1,2268,4032,743,1528,1550,2403
3408860,plastic,1,2250,4000,691,1516,1300,2309
3408861,plastic,1,2268,4032,904,1792,1282,2236
3408903,plastic,1,2268,4032,832,1591,1433,2479
3408904,plastic,1,2250,4000,875,1753,1419,2312
3408950,plastic,1,2250,4000,794,1341,1278,2172
3408981,plastic,1,1836,3264,459,1196,1334,2043
3408986,plastic,1,2268,4032,863,1830,1418,2312
3408998,plastic,1,1836,3264,566,1405,1316,1961
3409061,plastic,1,2268,4032,844,1550,1348,2432
3409106,plastic,1,4032,2268,1613,759,2372,1528
3409118,plastic,1,2268,4032,583,1503,1566,2574
3409208,plastic,1,2268,4032,832,1171,1454,2396
3409225,plastic,1,2268,4032,825,1216,1424,2403
3409259,plastic,1,2268,4032,734,1465,1424,2158
3409280,plastic,1,2268,4032,743,1087,1525,2678
3409298,plastic,1,2268,4032,791,1014,1528,2501
3409317,plastic,1,2268,4032,759,1027,1531,2792
3409336,plastic,1,2268,4032,828,1125,1405,2763
3409350,plastic,1,2988,5312,876,1868,1938,2635
3409360,plastic,1,2252,4000,965,1647,1302,1981
3409380,plastic,1,2268,4032,806,1125,1367,2687
3409383,plastic,1,2272,4032,974,1777,1317,2454
3409395,plastic,1,2268,4032,567,1462,1799,3123
3409429,plastic,1,1836,3264,678,1265,1214,1808
3409462,plastic,1,2268,4032,882,1676,1465,2290
3409494,plastic,1,2988,5312,564,1735,2092,2780
3409593,plastic,1,2268,4032,791,1707,1594,2066
3409607,plastic,1,2272,4032,955,1386,1327,2507
3409662,plastic,1,2268,4032,794,797,1540,2696
3409713,plastic,1,2268,4032,869,939,1383,2832
3409855,plastic,1,2322,4128,1061,1577,1367,2445
3409992,plastic,1,2268,4032,693,1777,1512,2460
3410055,plastic,1,4032,2268,1424,681,2614,1534
3410185,plastic,1,2250,4000,925,1634,1253,2222
3410283,plastic,1,2268,4032,976,1515,1521,2388
3410357,plastic,1,2268,4032,954,1663,1342,2051
3410396,plastic,1,2268,4032,810,1468,1484,1978
3411145,plastic,1,2268,4032,1062,1544,1222,2249
3411172,plastic,1,1602,2848,743,414,883,2198
3411303,plastic,1,4000,2250,1141,850,2642,1575
3411370,plastic,1,2250,4000,1012,1300,1203,2341
3411393,plastic,1,2250,4000,684,1734,1375,2100
3411449,plastic,1,2250,4000,887,1644,1422,2300
3411474,plastic,1,4032,2268,1285,665,2529,1534
3411576,plastic,1,4000,2250,1625,750,2022,1441
3411617,plastic,1,2250,4000,941,1769,1406,2228
3411639,plastic,1,2268,4032,595,1622,1767,2580
