imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y
3403540,pack,1,2272,4032,926,1682,1248,2284
3403580,pack,2,2272,4032,920,1544,1462,1969
3403580,pack,2,2272,4032,892,1890,1317,2448
3403658,can,1,2272,4032,999,1701,1295,2224
3403788,glass,1,4032,2272,1435,972,2672,1185
3403841,paper,1,2268,4032,860,1663,1515,2419
3403871,paper,1,2268,4032,861,1683,1493,2445
3403971,paper,1,2268,4032,684,1553,1676,2400
3403990,pet,4,2272,4032,757,1736,1419,1904
3403990,pet,4,2272,4032,689,1911,1402,2117
3403990,pet,4,2272,4032,649,1342,1560,1792
3403990,pet,4,2272,4032,715,2114,1686,2536
3404044,plastic,1,2592,4608,868,2225,1534,3103
3404065,can,1,2268,4032,1018,1720,1284,2279
3404070,can,1,2268,4032,961,1603,1356,2047
3404106,paper,1,2268,4032,961,1559,1425,2595
3404111,paper,1,2268,4032,662,1345,1588,2660
3404119,pet,2,2272,4032,627,1569,1478,1997
3404119,pet,2,2272,4032,736,1953,1342,2112
3404135,glass,2,2268,4032,743,1698,1071,2788
3404135,glass,2,2268,4032,1065,1773,1417,2718
3404138,pack,1,2268,4032,1068,1739,1320,2177
3404188,paper,1,2268,4032,1005,1550,1348,2331
3404200,plastic,1,2272,4032,920,1852,1440,2199
3404209,glass,3,2268,4032,410,1720,1389,2123
3404209,glass,3,2268,4032,1351,1884,1695,2718
3404209,glass,3,2268,4032,888,1052,1610,1877
3404245,plastic,1,2268,4032,1036,1676,1307,2322
3404247,plastic,1,2272,4032,1059,1862,1379,2190
3404277,can,1,2268,4032,643,1761,1729,2401
3404282,paper,1,2268,4032,624,1414,1643,2634
3404285,pack,2,2268,4032,918,1814,1131,2101
3404285,pack,2,2268,4032,1229,1868,1449,2148
3404290,plastic,1,4032,2272,1944,1065,2192,1314
3404346,paper,1,2268,4032,684,1591,1629,2473
3404349,pet,1,2268,4032,806,1578,1203,2347
3404370,plastic,4,2272,4032,908,2262,1153,2507
3404370,plastic,4,2272,4032,1093,2048,1431,2388
3404370,plastic,4,2272,4032,753,1972,1122,2293
3404370,plastic,4,2272,4032,879,1660,1446,2060
3404385,pet,1,2268,4032,1096,1502,1383,2388
3404388,vinyl,1,4032,2268,1192,594,2455,1362
3404394,pet,1,2268,4032,1002,1692,1216,2350
3404420,paper,1,2250,4000,628,1425,1631,2186
3404442,can,1,2268,4032,749,1450,1521,2564
3404444,plastic,1,2268,4032,778,1572,1433,2255
3404453,can,1,2268,4032,1046,1622,1332,2208
3404458,plastic,1,2268,4032,829,1674,1537,2161
3404488,paper,1,2250,4000,613,1312,1628,2409
3404489,can,1,2268,4032,967,1452,1298,2208
3404512,glass,1,2268,4032,990,1862,1503,2267
3404517,paper,1,2268,4032,764,1270,1720,2552
3404521,can,1,2268,4032,987,1624,1285,2252
3404522,vinyl,1,1836,3264,490,765,1336,2014
3404537,vinyl,2,2272,4032,766,2051,1434,2555
3404537,vinyl,2,2272,4032,627,1698,1639,2303
3404551,paper,1,2620,4656,953,1848,1696,2877
3404558,vinyl,2,1836,3264,500,1117,1456,2096
3404558,vinyl,2,1836,3264,891,2055,1245,2747
3404595,plastic,4,2268,4032,964,2231,1322,2262
3404595,plastic,4,2268,4032,1008,2130,1360,2199
3404595,plastic,4,2268,4032,1068,2069,1424,2136
3404595,plastic,4,2268,4032,1016,2059,1357,2180
3404596,vinyl,4,2272,4032,507,1966,1197,2429
3404596,vinyl,4,2272,4032,558,1521,1554,2126
3404596,vinyl,4,2272,4032,889,2200,1478,3137
3404596,vinyl,4,2272,4032,1169,1899,1809,2561
3404605,vinyl,1,2268,4032,740,1314,1556,2312
3404633,paper,1,2268,4032,662,1408,1490,2567
3404640,vinyl,2,2272,4032,917,2003,1626,2753
3404640,vinyl,2,2272,4032,728,1562,1610,2330
3404655,paper,1,2268,4032,775,1515,1487,2457
3404681,vinyl,1,2268,4032,737,1268,1578,2678
3404688,plastic,1,2268,4032,775,636,1622,1799
3404695,paper,1,2268,4032,879,1751,1386,2463
3404702,pack,1,2268,4032,964,1792,1222,2170
3404715,vinyl,3,1836,3264,589,1568,1295,2213
3404715,vinyl,3,1836,3264,354,829,1357,1650
3404715,vinyl,3,1836,3264,844,1646,1120,2156
3404722,paper,1,4032,2268,1625,649,2243,1465
3404745,paper,1,2268,4032,787,1559,1433,2426
3404761,paper,1,2620,4656,1060,1935,1615,2741
3404766,plastic,1,2268,4032,980,1742,1446,2422
3404790,paper,1,2268,4032,614,1358,1531,2539
3404820,glass,1,2268,4032,964,1695,1241,2718
3404821,plastic,1,2268,4032,750,747,1320,1811
3404832,paper,1,2268,4032,812,1565,1440,2435
3404838,paper,1,2268,4032,547,1245,1873,3067
3404850,pack,1,2250,4000,666,1428,1575,2284
3404862,paper,1,2268,4032,639,1531,1575,2240
3404879,paper,1,2268,4032,725,1402,1515,2470
3404913,plastic,2,2268,4032,1052,2010,1462,2643
3404913,plastic,2,2268,4032,813,1748,1150,2221
3404919,paper,1,1836,3264,525,1382,1295,2104
3404945,paper,3,2268,4032,989,1364,1528,1988
3404945,paper,3,2268,4032,1172,1975,1629,2548
3404945,paper,3,2268,4032,595,1909,1216,2674
3404954,paper,1,2268,4032,750,1373,1440,2032
3404972,vinyl,1,2250,4000,822,1281,1569,2238
3404995,vinyl,1,2268,4032,816,1506,1550,2492
3404997,paper,1,2268,4032,838,1493,1307,2161
3405000,paper,1,2268,4032,866,1487,1599,2499
3405006,glass,4,4032,2268,2177,1288,2816,1610
3405006,glass,4,4032,2268,2139,658,2507,1361
3405006,pet,4,4032,2268,1096,898,1783,1944
3405006,can,4,4032,2268,1717,1080,2211,1758
3405010,vinyl,3,1836,3264,275,1290,1150,2180
3405010,paper,3,1836,3264,867,987,1619,1782
3405010,vinyl,3,1836,3264,404,1517,876,2080
3405024,can,1,2268,4032,800,1676,1336,2444
3405025,pet,1,4032,2268,1732,740,1994,1566
3405043,paper,1,2268,4032,961,1254,1367,2255
3405046,paper,1,2268,4032,859,1820,1377,2350
3405056,paper,1,2268,4032,806,1578,1584,2170
3405059,paper,1,2268,4032,649,1638,1546,2637
3405062,paper,2,1836,3264,473,918,1362,1781
3405062,vinyl,2,1836,3264,768,1632,1246,2077
