imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3404512,glass,1,2268,4032,990,1862,1503,2267,2.27,157,151,143
3405411,glass,1,2268,4032,981,1382,1346,2627,4.97,152,126,109
3407424,glass,1,2268,4032,1021,1506,1405,2174,2.81,153,152,150
3407676,glass,1,2268,4032,964,1874,1361,2410,2.33,158,152,145
3408682,glass,1,2268,4032,888,1386,1373,2826,7.64,168,164,159
3408719,glass,1,2268,4032,895,1682,1452,2611,5.66,151,147,141
3408793,glass,1,2268,4032,891,1654,1493,2744,7.18,156,151,146
3408806,glass,1,2268,4032,920,1849,1288,2536,2.76,167,162,157
3409013,glass,1,2268,4032,944,1458,1404,2794,6.72,155,150,144
3409103,glass,1,1836,3264,627,1419,1184,1944,4.88,164,144,108
3409105,glass,1,2268,4032,929,1282,1339,2627,6.03,165,160,155
3409276,glass,1,1836,3264,592,1329,1221,2009,7.14,165,142,108
3409326,glass,1,1836,3264,691,1331,1150,1907,4.41,165,146,112
3409774,glass,1,2988,5312,1140,1573,1710,3054,5.32,154,152,149
3409789,glass,1,2268,4032,844,1899,1443,2397,3.26,140,135,131
3412229,glass,1,2268,4032,1077,1566,1395,2693,3.92,156,154,152
3412361,glass,1,2268,4032,1021,1452,1344,2504,3.72,143,140,138
3412486,glass,1,2268,4032,989,1361,1288,2498,3.72,145,142,140
3414248,glass,1,2268,4032,797,1405,1588,2397,8.58,121,120,116
3414677,glass,1,2272,4032,958,1046,1386,2526,6.91,128,127,120
3414707,glass,1,2272,4032,989,1361,1415,2781,6.6,137,137,131
3414906,glass,1,2560,1440,1042,602,1612,784,2.81,135,132,124
3414953,glass,1,1440,2560,600,856,788,1470,3.13,147,144,135
3414983,glass,1,4160,2340,1901,387,2233,1732,4.59,136,126,116
3415151,glass,1,2272,4032,926,1676,1871,1924,2.56,138,137,135
3416918,glass,1,2268,4032,841,1443,1484,2718,8.97,149,140,127
3419475,glass,1,2268,4032,1058,1824,1468,2419,2.67,164,140,119
3419566,glass,1,2268,4032,1002,1786,1386,2466,2.86,170,148,126
3421156,glass,1,2272,4032,775,2013,1623,2457,4.11,138,137,136
3421368,glass,1,1836,3264,640,1290,1043,1974,4.6,132,127,123
3421727,glass,1,1836,3264,696,956,1071,2349,8.72,132,127,122
3421829,glass,1,2268,4032,1002,1424,1241,2208,2.05,151,132,117
3421923,glass,1,2268,4032,951,1418,1213,2362,2.7,154,137,123
3421962,glass,1,2268,4032,1008,1373,1288,2372,3.06,151,131,116
