imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3403540,pack,1,2272,4032,926,1682,1248,2284,2.12,169,164,158
3403841,paper,1,2268,4032,860,1663,1515,2419,5.42,125,119,113
3403871,paper,1,2268,4032,861,1683,1493,2445,5.27,151,146,139
3404044,plastic,1,2592,4608,868,2225,1534,3103,4.9,152,145,141
3404277,can,1,2268,4032,643,1761,1729,2401,7.6,162,144,127
3404349,pet,1,2268,4032,806,1578,1203,2347,3.34,156,150,143
3404385,pet,1,2268,4032,1096,1502,1383,2388,2.78,150,144,137
3404420,paper,1,2250,4000,628,1425,1631,2186,8.48,150,145,141
3404444,plastic,1,2268,4032,778,1572,1433,2255,4.89,157,151,143
3404512,glass,1,2268,4032,990,1862,1503,2267,2.27,157,151,143
3404551,paper,1,2620,4656,953,1848,1696,2877,6.27,137,126,115
3404655,paper,1,2268,4032,775,1515,1487,2457,7.33,158,155,151
3404745,paper,1,2268,4032,787,1559,1433,2426,6.12,148,145,142
3404761,paper,1,2620,4656,1060,1935,1615,2741,3.67,141,127,119
3404766,plastic,1,2268,4032,980,1742,1446,2422,3.47,145,139,133
3404821,plastic,1,2268,4032,750,747,1320,1811,6.63,174,163,152
3404850,pack,1,2250,4000,666,1428,1575,2284,8.65,159,151,150
3404862,paper,1,2268,4032,639,1531,1575,2240,7.26,165,157,144
3404954,paper,1,2268,4032,750,1373,1440,2032,4.97,176,156,134
3404972,vinyl,1,2250,4000,822,1281,1569,2238,7.94,151,144,141
3404995,vinyl,1,2268,4032,816,1506,1550,2492,7.91,139,135,128
3404997,paper,1,2268,4032,838,1493,1307,2161,3.43,175,155,133
3405000,paper,1,2268,4032,866,1487,1599,2499,8.11,177,144,126
3405024,can,1,2268,4032,800,1676,1336,2444,4.5,134,122,109
3405102,paper,1,2268,4032,777,1543,1451,2051,3.74,179,159,137
3405173,pack,1,2268,4032,779,1676,1455,2003,2.42,139,122,108
3405186,paper,1,2268,4032,805,1548,1489,2515,7.23,179,146,120
3405234,can,1,1440,2560,544,1004,869,1663,5.81,174,157,126
3405238,plastic,1,2250,4000,979,1410,1341,2368,3.85,147,138,134
3405258,vinyl,1,2268,4032,835,1649,1542,2413,5.91,147,140,132
3405274,paper,1,2268,4032,983,1446,1249,2430,2.86,135,125,110
3405282,vinyl,1,2268,4032,866,1707,1503,2432,5.05,157,151,144
3405356,paper,1,2268,4032,989,1499,1355,2182,2.73,147,138,131
3405394,can,1,1836,3264,760,1342,1139,1831,3.09,166,145,112
3405411,glass,1,2268,4032,981,1382,1346,2627,4.97,152,126,109
3405447,pet,1,2250,4000,1034,1400,1279,2371,2.64,154,145,141
3405529,plastic,1,2268,4032,860,1481,1354,1950,2.53,159,148,139
3405597,paper,1,2268,4032,929,1288,1291,2085,3.16,149,137,128
3405602,plastic,1,2250,4000,859,1647,1403,2206,3.38,153,144,140
