imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3403540,pack,1,2272,4032,926,1682,1248,2284,2.12,169,164,158
3405173,pack,1,2268,4032,779,1676,1455,2003,2.42,139,122,108
3406248,pack,1,2268,4032,923,1833,1307,2429,2.5,136,122,111
3406681,pack,1,2268,4032,816,1780,1436,2259,3.25,163,139,120
3406715,pack,1,2268,4032,885,1833,1301,2281,2.04,156,142,130
3406720,pack,1,2268,4032,866,1512,1342,2019,2.64,154,138,124
3407168,pack,1,2268,4032,1021,1517,1381,2430,3.59,146,134,125
3407183,pack,1,2268,4032,1021,1572,1342,2381,2.84,146,135,126
3407206,pack,1,2268,4032,972,1640,1264,2368,2.32,145,133,125
3407222,pack,1,2268,4032,995,1638,1283,2374,2.32,149,137,129
3407238,pack,1,2268,4032,990,1670,1272,2392,2.23,150,138,130
3407427,pack,1,2268,4032,1068,1518,1411,2429,3.42,143,136,131
3407440,pack,1,2268,4032,1069,1384,1432,2316,3.7,141,134,130
3407460,pack,1,2268,4032,1011,1503,1372,2407,3.57,144,138,133
3407473,pack,1,2268,4032,1045,1451,1411,2387,3.75,144,138,133
3407492,pack,1,2268,4032,998,1465,1362,2366,3.59,143,137,133
3407559,pack,1,2268,4032,913,1509,1518,2413,5.98,176,167,159
3407715,pack,1,2268,4032,693,1655,1676,2150,5.32,176,166,157
3407724,pack,1,2268,4032,1049,1336,1358,2252,3.1,151,148,145
3410218,pack,1,2268,4032,765,1660,1295,2013,2.05,159,157,153
3410423,pack,1,2268,4032,958,1657,1411,2284,3.11,162,159,152
3410926,pack,1,2268,4032,882,1521,1389,2098,3.2,155,154,153
3411640,pack,1,2268,4032,771,1830,1635,2095,2.5,161,141,121
3412418,pack,1,2268,4032,1011,1575,1402,2164,2.52,160,147,135
3412465,pack,1,2268,4032,910,1288,1436,2025,4.24,160,141,126
3412488,pack,1,2268,4032,885,1556,1465,2438,5.59,161,148,134
3412911,pack,1,2268,4032,718,1575,1115,2183,2.64,154,150,147
3413547,pack,1,2268,4032,995,1540,1427,2586,4.94,171,166,159
3413641,pack,1,2268,4032,857,1433,1496,2394,6.72,166,161,155
3413692,pack,1,2268,4032,838,1818,1446,2529,4.73,160,156,153
3413723,pack,1,2268,4032,699,1644,1458,2476,6.91,156,153,149
3413769,pack,1,2268,4032,995,1266,1389,2463,5.16,150,131,116
3415199,pack,1,2268,4032,967,1364,1304,2548,4.36,165,152,138
3415229,pack,1,2268,4032,841,1373,1389,2599,7.35,153,138,121
3415432,pack,1,2268,4032,923,1480,1357,2152,3.19,159,149,141
3415455,pack,1,2268,4032,945,1247,1320,1956,2.91,149,140,130
3417364,pack,1,2268,4032,910,1748,1332,2300,2.55,146,132,117
3418094,pack,1,2268,4032,907,1411,1351,2630,5.92,147,134,122
3418137,pack,1,2268,4032,1014,1751,1380,2312,2.25,178,169,157
3418771,pack,1,2268,4032,1030,1471,1332,2460,3.27,164,140,119
3418800,pack,1,2268,4032,1017,1506,1320,2507,3.32,165,138,117
3418878,pack,1,2268,4032,891,1767,1348,2259,2.46,168,146,125
3418956,pack,1,2268,4032,939,1755,1395,2252,2.48,167,144,122
3420025,pack,1,2268,4032,869,1594,1484,2284,4.64,137,133,129
3420085,pack,1,2268,4032,841,1600,1421,2318,4.55,131,129,126
3420167,pack,1,2268,4032,894,1367,1452,2299,5.69,130,127,126
3420284,pack,1,2268,4032,885,1458,1481,2111,4.26,135,133,131
3420348,pack,1,2268,4032,737,1606,1591,2205,5.59,123,120,117
3420734,pack,1,2268,4032,1017,1531,1309,2388,2.74,154,132,109
3421501,pack,1,2268,4032,933,1356,1395,2296,4.75,133,130,127
3421527,pack,1,2268,4032,929,1531,1509,2227,4.41,153,151,149
3423329,pack,1,2268,4032,850,1480,1241,2221,3.17,180,159,136
3424559,pack,1,2268,4032,948,1323,1402,2797,7.32,147,148,143
3424758,pack,1,2268,4032,784,1572,1462,2637,7.9,153,141,128
3424769,pack,1,2268,4032,929,1799,1468,2413,3.62,155,143,130
3425204,pack,1,2272,4032,870,1452,1368,2608,6.28,168,164,157
3427419,pack,1,2268,4032,709,1537,1595,2086,5.32,157,133,107
3427450,pack,1,2268,4032,753,1506,1572,2007,4.49,166,140,113
3428768,pack,1,2268,4032,926,1373,1377,2756,6.82,148,146,140
3428894,pack,1,2268,4032,840,1363,1360,2512,6.53,158,156,150
3435095,pack,1,2268,4032,942,1764,1380,2199,2.08,164,157,149
3498552,pack,1,2268,4032,362,1008,1125,1789,6.52,163,160,159
3518416,pack,1,2268,4032,967,1383,1348,2614,5.13,162,143,125
3523591,pack,1,2268,4032,866,1714,1402,2259,3.19,161,150,139
3533469,pack,1,2268,4032,860,1755,1484,2359,4.12,140,136,131
3533625,pack,1,2268,4032,1014,1537,1452,2032,2.37,123,118,114
3556026,pack,1,2268,4032,929,1783,1250,2444,2.32,168,164,159
3558591,pack,1,2268,4032,1072,1432,1398,2009,2.06,141,135,124
3572228,pack,1,2268,4032,904,1503,1480,2098,3.75,137,127,121
3575248,pack,1,2268,4032,1028,1504,1371,2072,2.13,149,138,127
3589770,pack,1,2272,4032,690,1150,1522,2133,8.93,166,160,153
3596391,pack,1,2268,4032,885,1799,1351,2268,2.39,155,146,140
3596835,pack,1,2268,4032,942,1421,1503,1899,2.93,144,136,126
3596981,pack,1,2268,4032,851,1588,1380,2300,4.12,128,125,122
3597001,pack,1,2268,4032,819,1285,1351,2051,4.46,153,149,143
3597265,pack,1,2268,4032,835,1795,1414,2460,4.21,162,158,153
3597709,pack,1,2268,4032,851,1395,1380,2454,6.13,138,123,108
