imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3404349,pet,1,2268,4032,806,1578,1203,2347,3.34,156,150,143
3404385,pet,1,2268,4032,1096,1502,1383,2388,2.78,150,144,137
3405675,pet,1,2268,4032,971,1399,1359,2602,5.1,167,152,139
3405685,pet,1,2268,4032,942,1405,1285,2558,4.32,154,143,134
3405699,pet,1,2268,4032,967,1430,1320,2611,4.56,151,140,130
3405711,pet,1,2268,4032,948,1400,1296,2562,4.42,150,140,130
3405745,pet,1,2268,4032,1007,1382,1343,2518,4.17,147,137,128
3405769,pet,1,2268,4032,936,1421,1291,2602,4.58,147,137,127
3405873,pet,1,2268,4032,917,1377,1285,2605,4.94,153,143,132
3405888,pet,1,2268,4032,951,1412,1313,2637,4.85,148,137,127
3405901,pet,1,2268,4032,948,1435,1295,2606,4.44,149,138,129
3405922,pet,1,2268,4032,932,1443,1269,2566,4.14,150,139,129
3405937,pet,1,2268,4032,945,1410,1291,2551,4.32,149,138,128
3406575,pet,1,2268,4032,1039,1676,1288,2558,2.4,152,130,114
3406660,pet,1,2268,4032,945,1462,1260,2501,3.58,156,131,113
3406804,pet,1,2268,4032,973,1613,1339,2470,3.43,160,133,115
3407167,pet,1,2272,4032,983,1487,1440,2466,4.88,158,149,142
3407192,pet,1,2268,4032,1162,1547,1433,2284,2.18,157,156,154
3407833,pet,1,2268,4032,942,1351,1304,2520,4.63,157,145,135
3407851,pet,1,2268,4032,986,1496,1269,2416,2.85,156,146,138
3407904,pet,1,2268,4032,1008,1512,1304,2454,3.05,157,145,135
3408129,pet,1,2268,4032,1024,1411,1323,2381,3.17,157,147,139
3408142,pet,1,2268,4032,1008,1610,1282,2501,2.67,156,145,135
3408188,pet,1,2272,4032,955,1354,1311,2602,4.85,154,147,138
3408193,pet,1,2268,4032,1046,1588,1298,2385,2.2,153,143,135
3408200,pet,1,2268,4032,1014,1562,1279,2413,2.47,155,144,137
3408219,pet,1,2268,4032,1043,1553,1291,2344,2.15,151,141,133
3408734,pet,1,2268,4032,520,1865,1758,2262,5.37,151,142,135
3408747,pet,1,2268,4032,972,1428,1300,2466,3.72,145,135,127
3408765,pet,1,2268,4032,510,1821,1773,2224,5.57,146,138,130
3408768,pet,1,2268,4032,1011,1480,1320,2422,3.18,142,132,124
3408781,pet,1,2268,4032,936,1487,1257,2479,3.48,142,132,124
3408783,pet,1,2268,4032,545,1846,1783,2237,5.29,145,138,130
3408794,pet,1,2268,4032,545,1887,1767,2281,5.27,146,138,131
3408803,pet,1,2268,4032,970,1503,1276,2432,3.11,146,136,128
3408843,pet,1,2268,4032,936,1506,1291,2511,3.9,147,137,128
3408844,pet,1,2268,4032,1014,1503,1304,2407,2.87,152,145,138
3408852,pet,1,2268,4032,945,1594,1266,2574,3.44,145,135,127
3408855,pet,1,2268,4032,1008,1540,1295,2435,2.81,154,147,139
3408864,pet,1,2268,4032,923,1594,1247,2564,3.44,146,135,127
3408874,pet,1,2268,4032,992,1534,1307,2470,3.22,143,133,125
3408883,pet,1,2268,4032,1008,1581,1301,2476,2.87,155,147,140
3408889,pet,1,2268,4032,961,1487,1263,2410,3.05,145,135,126
3409699,pet,1,2268,4032,970,1550,1216,2353,2.16,163,160,154
3409927,pet,1,2268,4032,1043,1377,1386,2646,4.76,164,157,148
3409965,pet,1,2268,4032,986,1317,1383,2671,5.88,164,157,148
3410013,pet,1,2268,4032,1002,1615,1280,2490,2.66,153,145,139
3410033,pet,1,2268,4032,1005,1556,1282,2422,2.62,151,144,138
3410041,pet,1,2268,4032,1042,1521,1326,2403,2.74,149,142,136
3410057,pet,1,2268,4032,1022,1516,1314,2416,2.87,147,139,134
3410074,pet,1,2268,4032,1016,1488,1305,2393,2.86,151,144,138
3410671,pet,1,2268,4032,882,1392,1317,2728,6.36,152,145,139
3410684,pet,1,2268,4032,914,1402,1345,2715,6.19,149,142,135
3410695,pet,1,2268,4032,907,1430,1336,2744,6.16,144,137,131
3410711,pet,1,2268,4032,923,1370,1367,2718,6.54,146,139,133
3410726,pet,1,2268,4032,923,1418,1364,2731,6.33,146,139,132
3410772,pet,1,2268,4032,964,1373,1402,2772,6.7,143,137,130
3410783,pet,1,2268,4032,942,1361,1367,2709,6.26,141,134,128
3410796,pet,1,2268,4032,913,1411,1348,2759,6.41,147,140,133
3410811,pet,1,2268,4032,958,1392,1377,2728,6.12,144,137,130
3410830,pet,1,2268,4032,923,1370,1348,2690,6.13,148,141,134
3412656,pet,1,2268,4032,851,1289,1277,2705,6.6,144,140,136
3412770,pet,1,2272,4032,848,1594,1327,2759,6.09,152,149,145
3412808,pet,1,2268,4032,932,1175,1269,2230,3.89,142,139,135
3412964,pet,1,2272,4032,1049,1862,1487,2804,4.5,146,144,141
3413190,pet,1,2272,4032,614,1732,1818,2167,5.72,139,138,137
3414643,pet,1,2268,4032,873,1430,1484,2687,8.4,179,170,158
3415193,pet,1,2268,4032,945,1351,1370,2649,6.03,161,161,157
3415396,pet,1,2268,4032,942,1423,1358,2464,4.74,155,147,138
3417842,pet,1,2268,4032,1024,1440,1417,2753,5.64,143,128,113
3421009,pet,1,2268,4032,816,1635,1150,2479,3.08,160,155,152
3421037,pet,1,2268,4032,869,1140,1247,2643,6.21,157,153,147
3421080,pet,1,2268,4032,920,1125,1301,2649,6.35,157,154,148
3421224,pet,1,2268,4032,970,1669,1302,2375,2.56,160,154,152
3421794,pet,1,2268,4032,1055,1632,1348,2564,2.99,163,143,119
3421817,pet,1,2268,4032,1049,1559,1345,2488,3.01,163,143,121
3421842,pet,1,2268,4032,929,1622,1219,2533,2.89,162,143,122
3421928,pet,1,2268,4032,917,1473,1329,2824,6.09,155,134,111
3422476,pet,1,2268,4032,1039,1418,1402,2347,3.69,167,163,157
3422501,pet,1,2268,4032,894,1358,1307,2466,5.0,169,165,158
3423222,pet,1,2268,4032,999,1452,1273,2425,2.92,161,142,121
3424154,pet,1,2268,4032,961,1748,1329,2602,3.44,158,139,118
3424171,pet,1,2268,4032,1017,1490,1304,2340,2.67,161,142,122
3424206,pet,1,2268,4032,932,1572,1235,2511,3.11,161,142,120
3424222,pet,1,2268,4032,1008,1556,1323,2611,3.63,163,143,121
3424451,pet,1,2268,4032,895,1216,1499,2577,8.99,162,143,121
3424504,pet,1,2268,4032,784,1329,1292,2454,6.25,154,135,114
3427435,pet,1,2268,4032,901,1642,1168,2441,2.33,148,131,113
3428231,pet,1,2268,4032,958,1487,1232,2348,2.58,165,161,156
3428616,pet,1,2268,4032,882,1506,1361,2378,4.57,164,159,155
3429246,pet,1,2268,4032,904,1288,1279,2498,4.96,143,124,109
3450128,pet,1,2268,4032,835,1411,1310,2444,5.37,153,150,145
3450363,pet,1,2268,4032,712,1922,1131,3276,6.2,141,123,106
3450895,pet,1,2268,4032,1000,1344,1323,2535,4.21,170,155,138
3457415,pet,1,2268,4032,948,1392,1310,2425,4.09,176,161,141
3459044,pet,1,2268,4032,707,1696,1347,2323,4.39,170,164,159
3501183,pet,1,2268,4032,970,1480,1296,2516,3.69,173,159,145
3510677,pet,1,2268,4032,567,1701,1512,2243,5.6,131,126,120
3572748,pet,1,2268,4032,1040,1424,1314,2318,2.68,179,164,146
3582243,pet,1,2268,4032,946,1150,1303,2345,4.67,161,159,157
3584731,pet,1,2268,4032,965,1415,1338,2591,4.8,144,140,136
3593669,pet,1,2268,4032,869,1247,1465,2426,7.68,132,129,125
3595107,pet,1,2268,4032,953,1335,1460,2586,6.94,157,149,142
3597276,pet,1,2268,4032,917,1440,1273,2618,4.59,164,161,158
3614902,pet,1,2268,4032,860,1452,1317,2476,5.12,161,157,147
3635232,pet,1,2268,4032,939,1282,1408,2703,7.29,154,142,132
3635958,pet,1,2272,4032,1162,1511,1552,2821,5.58,161,158,155
3637858,pet,1,2268,4032,601,1664,1516,2276,6.12,141,127,118
3661029,pet,1,2268,4032,973,1367,1233,2265,2.55,147,128,110
3664290,pet,1,2268,4032,828,1525,1332,2548,5.64,163,151,139
3669203,pet,1,2268,4032,933,1362,1340,2657,5.76,163,158,157
3675794,pet,1,2268,4032,923,1501,1340,2777,5.82,158,147,136
3687757,pet,1,2268,4032,917,1503,1301,2627,4.72,178,156,136
3732391,pet,1,2268,4032,779,1752,1502,2224,3.73,163,152,138
3785756,pet,1,2268,4032,927,1181,1377,2308,5.55,148,149,148
3814453,pet,1,2268,4032,860,1411,1418,2781,8.36,149,147,145
3881919,pet,1,2268,4032,948,1414,1408,2451,5.22,167,157,147
3912231,pet,1,2268,4032,860,1569,1424,2580,6.24,168,163,158
3937121,pet,1,2268,4032,877,1642,1191,2543,3.09,161,155,150
