imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3404277,can,1,2268,4032,643,1761,1729,2401,7.6,162,144,127
3405024,can,1,2268,4032,800,1676,1336,2444,4.5,134,122,109
3406071,can,1,2268,4032,980,1666,1260,2419,2.31,162,149,137
3406200,can,1,2268,4032,1017,1619,1279,2403,2.25,149,129,115
3406213,can,1,2268,4032,961,1795,1263,2526,2.41,161,147,135
3406262,can,1,2268,4032,1049,1540,1384,2406,3.17,166,154,144
3406270,can,1,2268,4032,946,1367,1299,2296,3.59,169,156,145
3406311,can,1,2268,4032,1002,1783,1266,2542,2.19,148,129,115
3406331,can,1,2268,4032,1063,1634,1404,2204,2.13,159,158,155
3406918,can,1,2268,4032,1027,1584,1266,2470,2.32,149,139,129
3406948,can,1,2268,4032,976,1526,1228,2432,2.5,160,155,145
3407270,can,1,2268,4032,902,1462,1347,2543,5.26,179,165,148
3407419,can,1,2268,4032,819,1707,1424,2403,4.6,163,159,150
3407468,can,1,2268,4032,1062,1468,1499,2473,4.8,170,154,137
3407535,can,1,2268,4032,885,1386,1373,2687,6.94,181,167,155
3407570,can,1,2268,4032,863,1389,1329,2580,6.07,169,153,137
3407785,can,1,2268,4032,907,1440,1329,2621,5.45,153,129,112
3407953,can,1,2268,4032,923,1613,1367,2514,4.37,142,136,127
3408029,can,1,2268,4032,958,1351,1427,2677,6.8,151,127,112
3408661,can,1,2272,4032,911,1673,1494,2029,2.27,155,148,139
3409669,can,1,2268,4032,913,1370,1370,2734,6.82,148,144,139
3410141,can,1,2268,4032,939,1074,1314,2492,5.81,149,145,141
3412714,can,1,2268,4032,800,1515,1304,2032,2.85,163,161,159
3413195,can,1,2268,4032,828,1436,1221,2499,4.57,144,142,140
3413830,can,1,2268,4032,1021,1572,1345,2485,3.23,155,153,151
3414159,can,1,2268,4032,1008,1307,1307,2158,2.78,167,154,143
3415078,can,1,2268,4032,942,1792,1370,2517,3.39,162,161,158
3415096,can,1,2268,4032,1017,1745,1402,2479,3.09,161,161,159
3415191,can,1,2272,4032,851,1811,1623,2381,4.8,158,157,150
3415292,can,1,2272,4032,889,1616,1412,2362,4.26,152,150,145
3416621,can,1,2268,4032,989,1436,1276,2460,3.21,168,156,144
3416650,can,1,2268,4032,967,1584,1373,2422,3.72,173,165,146
3417289,can,1,2272,4032,955,1783,1399,2369,2.84,128,123,119
3418941,can,1,2268,4032,992,1710,1452,2199,2.46,153,141,127
3419041,can,1,2268,4032,901,1808,1345,2268,2.23,157,144,129
3419435,can,1,2268,4032,1065,1484,1559,2035,2.98,155,142,129
3419873,can,1,2268,4032,920,1802,1660,2063,2.11,138,120,107
