imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3403841,paper,1,2268,4032,860,1663,1515,2419,5.42,125,119,113
3403871,paper,1,2268,4032,861,1683,1493,2445,5.27,151,146,139
3404655,paper,1,2268,4032,775,1515,1487,2457,7.33,158,155,151
3404745,paper,1,2268,4032,787,1559,1433,2426,6.12,148,145,142
3404862,paper,1,2268,4032,639,1531,1575,2240,7.26,165,157,144
3404954,paper,1,2268,4032,750,1373,1440,2032,4.97,176,156,134
3404997,paper,1,2268,4032,838,1493,1307,2161,3.43,175,155,133
3405000,paper,1,2268,4032,866,1487,1599,2499,8.11,177,144,126
3405102,paper,1,2268,4032,777,1543,1451,2051,3.74,179,159,137
3405186,paper,1,2268,4032,805,1548,1489,2515,7.23,179,146,120
3405274,paper,1,2268,4032,983,1446,1249,2430,2.86,135,125,110
3405356,paper,1,2268,4032,989,1499,1355,2182,2.73,147,138,131
3405597,paper,1,2268,4032,929,1288,1291,2085,3.16,149,137,128
3405850,paper,1,2268,4032,775,1557,1481,2528,7.5,170,161,146
3405871,paper,1,2268,4032,806,1458,1575,2485,8.64,174,146,123
3406039,paper,1,2268,4032,776,1514,1561,2457,8.1,170,143,120
3406110,paper,1,2268,4032,759,1515,1484,2473,7.6,170,158,145
3406166,paper,1,2268,4032,745,1541,1507,2536,8.29,174,168,155
3406254,paper,1,2268,4032,806,1559,1498,2469,6.89,169,160,144
3406277,paper,1,2268,4032,792,1554,1532,2584,8.33,177,168,153
3406357,paper,1,2268,4032,772,1545,1504,2541,7.97,174,166,152
3406491,paper,1,2268,4032,764,1673,1530,2400,6.09,172,163,149
3406718,paper,1,2268,4032,945,1622,1326,2214,2.47,148,136,127
3406731,paper,1,2268,4032,942,1758,1307,2337,2.31,146,135,126
3406743,paper,1,2268,4032,951,1710,1310,2281,2.24,146,135,127
3406756,paper,1,2268,4032,958,1603,1304,2148,2.06,150,139,130
3406773,paper,1,2268,4032,983,1695,1332,2232,2.05,143,132,124
3407067,paper,1,2268,4032,754,1505,1403,2408,6.41,153,129,113
3407105,paper,1,2268,4032,717,1288,1495,2274,8.39,156,140,126
3407200,paper,1,2268,4032,810,1348,1458,2303,6.77,174,160,147
3407244,paper,1,2268,4032,693,1238,1421,2236,7.95,136,121,110
3407717,paper,1,2268,4032,973,1125,1449,1748,3.24,153,130,115
3407869,paper,1,2268,4032,803,1751,1301,2482,3.98,156,132,115
3407967,paper,1,2268,4032,709,1638,1616,2299,6.56,151,135,123
3408010,paper,1,2268,4032,617,1591,1629,2362,8.53,163,148,135
3408097,paper,1,2268,4032,662,1591,1632,2312,7.65,152,140,126
3408399,paper,1,2268,4032,693,1468,1669,2244,8.28,144,132,120
3408425,paper,1,2268,4032,715,1490,1443,2548,8.42,150,126,107
3408434,paper,1,2268,4032,655,1613,1591,2366,7.71,144,132,120
3408448,paper,1,2268,4032,677,1600,1624,2340,7.66,145,133,122
3408532,paper,1,2268,4032,822,1521,1433,2325,5.37,148,131,117
3408826,paper,1,2268,4032,939,1399,1451,2090,3.87,164,150,136
3408831,paper,1,2268,4032,860,1540,1556,2589,7.98,136,119,106
3408892,paper,1,2268,4032,743,1247,1323,2019,4.9,154,131,112
3409012,paper,1,2268,4032,599,1301,1556,1984,7.15,163,144,127
3409073,paper,1,2268,4032,910,1607,1440,2429,4.76,143,131,119
3409085,paper,1,2268,4032,898,1805,1298,2432,2.74,144,134,123
3409092,paper,1,2268,4032,923,1751,1291,2325,2.31,143,133,123
3409107,paper,1,2268,4032,989,1755,1345,2296,2.11,145,134,125
3409122,paper,1,2268,4032,980,1786,1326,2325,2.04,144,133,124
3409147,paper,1,2268,4032,643,1805,1411,2671,7.27,133,128,121
3409158,paper,1,2268,4032,679,945,1401,1922,7.71,146,126,110
3409162,paper,1,2268,4032,791,1619,1370,2372,4.77,146,140,132
3409179,paper,1,2268,4032,901,1698,1326,2252,2.57,143,133,124
3409204,paper,1,2268,4032,882,1622,1323,2186,2.72,142,132,122
3409253,paper,1,2268,4032,898,1726,1408,2448,4.03,147,133,120
3409267,paper,1,2268,4032,951,1805,1392,2432,3.02,147,133,120
3409285,paper,1,2268,4032,879,1978,1566,2570,4.45,129,123,116
3409295,paper,1,2268,4032,898,1736,1389,2438,3.77,150,135,122
3409302,paper,1,2268,4032,910,1629,1370,2287,3.31,144,130,118
3409304,paper,1,2268,4032,825,1692,1323,2362,3.65,136,130,122
3409334,paper,1,2268,4032,720,1708,1659,2390,7.0,163,147,136
3409335,paper,1,2268,4032,844,1679,1358,2413,4.13,148,134,121
3409377,paper,1,2268,4032,939,1704,1402,2356,3.3,143,132,123
3409390,paper,1,2268,4032,898,1506,1351,2151,3.2,141,130,121
3409404,paper,1,2268,4032,873,1660,1288,2249,2.67,139,129,120
3409431,paper,1,2268,4032,942,1799,1326,2347,2.3,143,133,124
3409444,paper,1,2268,4032,942,1644,1317,2170,2.16,144,133,124
3409534,paper,1,2268,4032,747,1525,1553,2545,8.99,125,120,113
3409548,paper,1,2268,4032,873,1452,1471,2334,5.77,144,132,123
3409564,paper,1,2268,4032,873,1534,1361,2249,3.82,139,128,119
3409589,paper,1,2268,4032,891,1622,1351,2296,3.39,142,131,122
3409602,paper,1,2268,4032,910,1704,1367,2375,3.35,140,128,120
3409620,paper,1,2268,4032,945,1619,1399,2284,3.3,141,129,120
3409729,paper,1,2268,4032,614,1748,1525,2474,7.23,180,166,155
3409740,paper,1,2268,4032,869,1506,1543,2426,6.78,143,131,118
3409751,paper,1,2268,4032,806,1698,1389,2479,4.98,136,125,114
3409780,paper,1,2268,4032,819,1792,1367,2526,4.4,142,131,120
3409785,paper,1,2268,4032,860,1733,1430,2485,4.69,144,132,121
3409815,paper,1,2268,4032,879,1414,1468,2202,5.08,138,125,114
3409860,paper,1,2268,4032,838,1556,1433,2356,5.21,142,131,121
3409872,paper,1,2268,4032,860,1443,1433,2205,4.77,143,131,122
3409873,paper,1,2268,4032,891,1348,1397,2099,4.16,137,136,133
3410354,paper,1,2268,4032,942,1670,1433,2315,3.46,146,135,126
3410370,paper,1,2268,4032,920,1509,1422,2167,3.61,142,131,123
3410380,paper,1,2268,4032,885,1490,1398,2168,3.8,139,128,119
3410403,paper,1,2268,4032,753,1455,1458,2158,5.42,152,149,145
3410461,paper,1,2268,4032,725,1540,1704,2306,8.2,132,120,108
3410469,paper,1,2268,4032,863,1367,1361,2048,3.71,160,147,137
3410478,paper,1,2268,4032,687,1487,1676,2236,8.1,136,123,111
3410496,paper,1,2268,4032,633,1632,1603,2375,7.88,138,126,114
3410521,paper,1,2268,4032,624,1556,1581,2271,7.48,133,121,109
3410548,paper,1,2268,4032,731,1484,1707,2230,7.96,135,123,111
3410597,paper,1,2268,4032,888,1499,1421,2221,4.21,151,140,131
3410612,paper,1,2268,4032,850,1629,1370,2318,3.92,145,134,125
3410637,paper,1,2268,4032,920,1547,1414,2199,3.52,150,139,130
3410663,paper,1,2268,4032,878,1637,1377,2306,3.65,148,138,129
