imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3404444,plastic,1,2268,4032,778,1572,1433,2255,4.89,157,151,143
3404766,plastic,1,2268,4032,980,1742,1446,2422,3.47,145,139,133
3404821,plastic,1,2268,4032,750,747,1320,1811,6.63,174,163,152
3405529,plastic,1,2268,4032,860,1481,1354,1950,2.53,159,148,139
3405720,plastic,1,2268,4032,593,1579,1598,2365,8.64,159,132,107
3405738,plastic,1,2268,4032,676,1455,1564,2243,7.65,174,162,149
3405817,plastic,1,2268,4032,863,1833,1424,2492,4.04,159,154,148
3405899,plastic,1,2268,4032,816,1370,1503,2366,7.48,156,150,142
3406318,plastic,1,2268,4032,743,1881,1553,2457,5.1,158,152,144
3406445,plastic,1,2268,4032,825,1761,1405,2337,3.65,161,157,150
3406687,plastic,1,2268,4032,879,1594,1490,2378,5.24,159,158,155
3407018,plastic,1,2268,4032,835,1956,1443,2340,2.55,155,127,110
3407237,plastic,1,2268,4032,1002,1632,1298,2325,2.24,142,131,118
3407251,plastic,1,2268,4032,920,1966,1421,2400,2.38,158,129,110
3407792,plastic,1,2268,4032,1017,1755,1320,2385,2.09,157,151,143
3407842,plastic,1,2268,4032,989,1468,1276,2315,2.66,161,156,151
3407884,plastic,1,2268,4032,920,1566,1288,2290,2.91,161,156,152
3408204,plastic,1,2268,4032,775,1581,1427,2681,7.84,131,125,118
3408254,plastic,1,2268,4032,917,1616,1465,2504,5.32,156,149,143
3408260,plastic,1,2268,4032,810,1115,1572,2044,7.74,150,148,146
3408302,plastic,1,2268,4032,929,1666,1481,2536,5.25,158,151,145
3408442,plastic,1,2268,4032,1021,1584,1367,2114,2.01,139,125,111
3408541,plastic,1,2268,4032,954,1550,1336,2123,2.39,169,159,152
3408662,plastic,1,2268,4032,718,1666,1600,2539,8.42,133,128,118
3408751,plastic,1,2268,4032,822,1506,1222,2029,2.29,146,135,122
3408833,plastic,1,2268,4032,743,1528,1550,2403,7.72,152,149,145
3408903,plastic,1,2268,4032,832,1591,1433,2479,5.84,158,153,150
3408986,plastic,1,2268,4032,863,1830,1418,2312,2.93,164,159,154
3409208,plastic,1,2268,4032,832,1171,1454,2396,8.33,129,125,119
3409225,plastic,1,2268,4032,825,1216,1424,2403,7.78,127,119,112
3409593,plastic,1,2268,4032,791,1707,1594,2066,3.15,145,144,139
3409992,plastic,1,2268,4032,693,1777,1512,2460,6.12,134,128,126
3410396,plastic,1,2268,4032,810,1468,1484,1978,3.76,139,138,135
3411688,plastic,1,2268,4032,702,1556,1616,2438,8.82,160,158,154
3412032,plastic,1,2268,4032,901,1622,1271,2419,3.22,154,152,148
3412060,plastic,1,2268,4032,655,1537,1629,2344,8.6,163,160,156
3412331,plastic,1,2268,4032,832,1484,1405,2432,5.94,154,151,147
3412347,plastic,1,2268,4032,816,1663,1481,2485,5.98,170,162,152
3412703,plastic,1,2268,4032,1017,1726,1317,2485,2.49,160,150,140
3412715,plastic,1,2268,4032,1027,1710,1336,2482,2.61,158,147,138
3412722,plastic,1,2268,4032,876,1556,1480,2174,4.08,122,119,115
3412732,plastic,1,2268,4032,1021,1676,1329,2457,2.63,162,152,142
3412751,plastic,1,2268,4032,1014,1666,1317,2432,2.54,158,148,138
3412764,plastic,1,2268,4032,1033,1635,1339,2407,2.58,157,146,136
3412930,plastic,1,2268,4032,989,1600,1304,2400,2.76,158,147,135
3412936,plastic,1,2268,4032,1014,1569,1323,2350,2.64,157,146,134
3412947,plastic,1,2268,4032,1002,1644,1304,2413,2.54,158,148,136
3412955,plastic,1,2268,4032,1017,1610,1320,2375,2.53,157,146,134
3412971,plastic,1,2268,4032,1027,1647,1339,2426,2.66,158,147,134
3413748,plastic,1,2268,4032,910,1310,1465,2646,8.11,164,159,153
3414295,plastic,1,2268,4032,1046,1446,1279,2435,2.52,171,165,156
3414534,plastic,1,2268,4032,684,1726,1430,2479,6.14,181,157,137
3414772,plastic,1,2268,4032,939,1606,1317,2114,2.1,159,157,155
3414829,plastic,1,2268,4032,891,1745,1392,2334,3.23,162,152,142
3414846,plastic,1,2268,4032,879,1745,1244,2312,2.26,171,162,152
3414862,plastic,1,2268,4032,904,1736,1295,2246,2.18,166,157,147
3414907,plastic,1,2268,4032,800,1619,1534,2413,6.37,145,138,127
3414973,plastic,1,2268,4032,680,1637,1618,2466,8.5,166,162,157
3415413,plastic,1,2268,4032,945,1906,1417,2381,2.45,160,160,158
3415525,plastic,1,2268,4032,936,1468,1310,2630,4.75,153,140,126
3415537,plastic,1,2268,4032,936,1462,1273,2507,3.85,153,140,127
3415545,plastic,1,2268,4032,970,1446,1307,2485,3.83,154,141,128
3415550,plastic,1,2268,4032,970,1468,1304,2511,3.81,149,137,124
3415557,plastic,1,2268,4032,954,1462,1298,2504,3.92,153,141,127
3415579,plastic,1,2268,4032,995,1465,1377,2476,4.22,147,135,123
3415590,plastic,1,2268,4032,967,1427,1355,2441,4.3,143,131,119
3415593,plastic,1,2268,4032,787,1682,1512,2378,5.52,165,132,108
3415600,plastic,1,2268,4032,923,1405,1326,2435,4.54,153,141,129
3415601,plastic,1,2268,4032,948,1452,1336,2466,4.3,143,131,119
3415616,plastic,1,2268,4032,961,1503,1351,2536,4.41,149,137,124
3415626,plastic,1,2268,4032,932,1525,1320,2548,4.34,142,131,119
3415761,plastic,1,2268,4032,958,1830,1361,2416,2.58,174,168,154
3415793,plastic,1,2268,4032,926,1701,1506,2583,5.59,180,168,149
3415826,plastic,1,2268,4032,936,1947,1427,2426,2.57,173,164,150
3415920,plastic,1,2268,4032,1052,1364,1399,2385,3.87,167,159,152
3416928,plastic,1,2268,4032,756,1436,1487,2180,5.95,130,123,113
3417004,plastic,1,2268,4032,891,1714,1473,2295,3.7,146,137,128
3417017,plastic,1,2268,4032,853,1792,1449,2388,3.88,141,132,123
3417030,plastic,1,2268,4032,891,1603,1520,2357,5.19,162,151,139
3417033,plastic,1,2268,4032,885,1773,1458,2353,3.63,147,138,128
3417043,plastic,1,2268,4032,879,1814,1449,2388,3.58,143,133,125
3417059,plastic,1,2268,4032,873,1849,1427,2407,3.38,145,135,127
3418202,plastic,1,2268,4032,819,1487,1326,2454,5.36,143,131,118
3418218,plastic,1,2268,4032,932,1714,1320,2463,3.18,169,145,124
3418333,plastic,1,2268,4032,983,1458,1336,2407,3.66,151,140,126
3418419,plastic,1,2268,4032,910,1572,1373,2438,4.38,153,141,128
3418662,plastic,1,2268,4032,1011,1676,1399,2498,3.49,150,139,127
3418869,plastic,1,2268,4032,891,1632,1449,2170,3.28,147,134,120
3419191,plastic,1,2268,4032,964,1956,1440,2448,2.56,133,118,108
3419616,plastic,1,2268,4032,854,1745,1477,2372,4.27,178,150,125
3419760,plastic,1,2268,4032,923,1742,1386,2485,3.76,158,132,109
3419806,plastic,1,2268,4032,863,1825,1414,2331,3.05,175,144,118
3420143,plastic,1,2268,4032,920,1767,1421,2567,4.38,168,136,109
3420272,plastic,1,2268,4032,885,1893,1433,2479,3.51,176,149,127
3420279,plastic,1,2268,4032,986,1408,1354,1962,2.23,148,135,124
3420417,plastic,1,2268,4032,740,1710,1575,2466,6.9,169,154,141
3420420,plastic,1,2268,4032,904,1512,1534,2340,5.7,159,157,153
3420458,plastic,1,2268,4032,806,1320,1465,2385,7.67,147,144,141
3420547,plastic,1,2268,4032,905,1745,1543,2359,4.28,158,158,157
3420552,plastic,1,2268,4032,832,1540,1480,2164,4.42,151,149,146
3420658,plastic,1,2268,4032,929,1468,1569,2268,5.6,149,147,145
3420686,plastic,1,2268,4032,898,1629,1597,2334,5.39,155,154,151
3420802,plastic,1,2268,4032,867,1313,1364,2315,5.45,161,158,154
3420906,plastic,1,2268,4032,810,1354,1515,2432,8.31,153,150,145
3420931,plastic,1,2268,4032,630,1723,1351,2063,2.68,164,151,139
3420974,plastic,1,2268,4032,839,1687,1424,2164,3.05,157,144,133
3421023,plastic,1,2268,4032,847,1399,1499,2378,6.98,138,133,127
3421132,plastic,1,2268,4032,954,1339,1443,1874,2.86,157,152,151
3421296,plastic,1,2268,4032,879,1525,1392,2432,5.09,155,150,148
3421534,plastic,1,2268,4032,866,1399,1241,2262,3.54,167,164,158
3421551,plastic,1,2268,4032,765,1578,1528,2536,7.99,160,133,108
3421580,plastic,1,2268,4032,835,1874,1603,2536,5.56,171,147,125
3421738,plastic,1,2268,4032,810,1562,1547,2208,5.21,153,151,148
3421764,plastic,1,2268,4032,810,1156,1467,2387,8.84,167,164,157
3421804,plastic,1,2268,4032,630,1566,1418,2318,6.48,157,152,147
3421911,plastic,1,2268,4032,980,1613,1405,2221,2.83,136,132,129
3421955,plastic,1,2268,4032,844,1436,1477,2073,4.41,156,154,153
3421972,plastic,1,2268,4032,595,1572,1521,2416,8.55,163,160,154
3421995,plastic,1,2268,4032,797,1528,1575,2290,6.48,166,162,157
3422066,plastic,1,2268,4032,891,1566,1462,2114,3.42,143,141,138
3422120,plastic,1,2268,4032,895,1739,1452,2306,3.45,147,145,141
3422157,plastic,1,2268,4032,794,1477,1373,2337,5.45,144,141,138
3422189,plastic,1,2268,4032,838,1465,1377,2066,3.54,150,148,145
3422200,plastic,1,2268,4032,936,1890,1427,2366,2.56,170,147,127
3422230,plastic,1,2268,4032,964,1855,1553,2413,3.59,165,147,127
3422342,plastic,1,2268,4032,775,1279,1361,2139,5.51,143,141,137
3422559,plastic,1,2268,4032,944,1492,1367,2309,3.78,142,122,107
3422585,plastic,1,2268,4032,835,1452,1433,2810,8.88,162,161,159
3422598,plastic,1,2268,4032,910,1682,1408,2192,2.78,161,160,159
3422802,plastic,1,2268,4032,696,1540,1427,2381,6.72,168,164,157
3423195,plastic,1,2268,4032,781,1424,1647,2306,8.35,162,158,154
3423310,plastic,1,2268,4032,747,1660,1361,2690,6.92,164,152,141
3423341,plastic,1,2268,4032,895,1547,1465,2674,7.02,159,148,139
3423373,plastic,1,2268,4032,954,1562,1462,2640,5.99,157,145,134
3423457,plastic,1,2268,4032,879,1660,1433,2227,3.44,156,141,123
3423474,plastic,1,2268,4032,895,1515,1411,2082,3.2,158,143,126
3423608,plastic,1,2268,4032,747,1440,1525,2180,6.3,159,138,114
3423635,plastic,1,2268,4032,690,1773,1496,2583,7.14,166,155,148
3423637,plastic,1,2268,4032,784,1726,1320,2136,2.4,160,143,124
3423656,plastic,1,2268,4032,904,2013,1421,2567,3.13,172,164,156
3423676,plastic,1,2268,4032,773,1799,1402,2416,4.24,167,158,149
3424325,plastic,1,2268,4032,936,1503,1354,2003,2.29,157,155,153
3424490,plastic,1,2268,4032,932,1389,1266,2523,4.14,169,153,135
3424552,plastic,1,2268,4032,743,1484,1707,2328,8.9,135,133,130
3424812,plastic,1,2268,4032,888,1414,1288,2236,3.6,141,128,114
3424816,plastic,1,2268,4032,954,1528,1288,2372,3.08,174,159,143
3424956,plastic,1,2268,4032,995,1481,1414,2353,4.0,167,150,132
3425008,plastic,1,2268,4032,1074,1569,1370,2407,2.71,168,156,142
3425078,plastic,1,2268,4032,885,1651,1364,2196,2.85,169,152,133
3425100,plastic,1,2268,4032,816,1584,1317,2495,4.99,174,155,134
3425156,plastic,1,2268,4032,961,1462,1389,2400,4.39,174,161,143
3425200,plastic,1,2268,4032,936,1458,1458,2614,6.6,168,141,114
3425300,plastic,1,2268,4032,983,1373,1367,2514,4.79,163,133,106
3425335,plastic,1,2268,4032,992,1610,1373,2624,4.22,174,144,119
3425370,plastic,1,2268,4032,1102,1118,1292,2748,3.39,158,156,153
3425395,plastic,1,2268,4032,781,1591,1455,2079,3.6,163,161,159
3425582,plastic,1,2268,4032,904,1566,1184,2432,2.65,124,125,121
3425607,plastic,1,2268,4032,816,1449,1367,1994,3.28,163,162,159
3425629,plastic,1,2268,4032,709,1559,1572,2088,4.99,163,161,159
3425651,plastic,1,2268,4032,967,1503,1392,2328,3.83,158,141,122
3425670,plastic,1,2268,4032,951,1550,1373,2381,3.83,167,151,133
3425693,plastic,1,2268,4032,992,1503,1314,2495,3.49,175,160,142
3425789,plastic,1,2268,4032,850,1411,1373,2489,6.17,169,165,154
3425867,plastic,1,2268,4032,822,1701,1547,2438,5.84,154,153,151
3425939,plastic,1,2268,4032,734,1625,1427,2315,5.23,166,150,133
3426378,plastic,1,2268,4032,973,1610,1310,2240,2.32,148,128,113
3426446,plastic,1,2268,4032,1021,1679,1285,2385,2.04,151,149,144
3426580,plastic,1,2268,4032,1008,1304,1348,2029,2.7,143,136,126
3426876,plastic,1,2268,4032,1019,1449,1395,2734,5.28,147,134,125
3427038,plastic,1,2268,4032,885,1424,1449,2476,6.49,170,154,137
3427061,plastic,1,2268,4032,857,1537,1364,2325,4.37,162,145,126
3427084,plastic,1,2268,4032,961,1474,1329,2444,3.9,171,154,136
3427362,plastic,1,2268,4032,598,1575,1502,2389,8.05,129,117,107
3427496,plastic,1,2268,4032,684,1767,1533,2085,2.95,166,145,121
3427525,plastic,1,2268,4032,961,1597,1323,2312,2.83,174,158,146
3427608,plastic,1,2268,4032,974,1248,1365,2242,4.25,157,135,114
3427648,plastic,1,2268,4032,1005,1307,1265,2231,2.63,161,135,109
3427656,plastic,1,2268,4032,898,1342,1298,2340,4.37,160,135,107
3427659,plastic,1,2268,4032,876,1688,1276,2236,2.4,155,134,114
3427674,plastic,1,2268,4032,1040,1310,1247,2273,2.18,166,143,120
3427680,plastic,1,2268,4032,888,1729,1257,2230,2.02,150,129,108
3427699,plastic,1,2268,4032,983,1436,1292,2136,2.37,170,150,128
3427732,plastic,1,2268,4032,891,1317,1133,2179,2.28,172,156,141
3427756,plastic,1,2268,4032,961,1427,1329,2350,3.71,161,143,122
3428134,plastic,1,2268,4032,863,1191,1247,2252,4.46,171,144,120
3428141,plastic,1,2268,4032,970,1458,1339,2479,4.12,153,140,126
3428148,plastic,1,2268,4032,973,1487,1329,2485,3.89,152,139,125
3428164,plastic,1,2268,4032,980,1474,1336,2463,3.85,151,138,124
3428179,plastic,1,2268,4032,999,1484,1344,2454,3.66,152,139,124
3428194,plastic,1,2268,4032,951,1503,1301,2473,3.71,152,139,125
3428202,plastic,1,2268,4032,904,1707,1266,2227,2.06,172,155,140
3428287,plastic,1,2268,4032,904,1720,1298,2214,2.13,169,147,123
3428440,plastic,1,2268,4032,948,1714,1351,2397,3.01,154,142,130
3428449,plastic,1,2268,4032,961,1704,1361,2385,2.98,156,144,131
3428457,plastic,1,2268,4032,961,1726,1367,2410,3.04,154,142,129
3428470,plastic,1,2268,4032,904,1673,1317,2378,3.18,155,143,129
3428480,plastic,1,2268,4032,970,1649,1379,2334,3.06,155,143,129
3428521,plastic,1,2268,4032,948,1389,1266,2347,3.33,134,120,112
3428782,plastic,1,2268,4032,917,1405,1323,2567,5.16,172,150,129
3428884,plastic,1,2268,4032,898,1377,1345,2533,5.65,177,159,140
