imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3404995,vinyl,1,2268,4032,816,1506,1550,2492,7.91,139,135,128
3405258,vinyl,1,2268,4032,835,1649,1542,2413,5.91,147,140,132
3405282,vinyl,1,2268,4032,866,1707,1503,2432,5.05,157,151,144
3406095,vinyl,1,2268,4032,773,1384,1514,2329,7.66,153,141,132
3406117,vinyl,1,2268,4032,828,1673,1399,2394,4.5,152,141,132
3406133,vinyl,1,2268,4032,851,1559,1465,2334,5.2,152,141,131
3406211,vinyl,1,2268,4032,838,1529,1438,2342,5.33,144,130,117
3406229,vinyl,1,2268,4032,842,1626,1366,2339,4.09,146,133,121
3406251,vinyl,1,2268,4032,906,1735,1418,2425,3.86,146,134,122
3406272,vinyl,1,2268,4032,889,1565,1417,2272,4.08,148,135,123
3406451,vinyl,1,2268,4032,769,1695,1430,2007,2.26,160,142,121
3407093,vinyl,1,2268,4032,784,1682,1443,2265,4.2,143,144,144
3407609,vinyl,1,2268,4032,923,1080,1610,2240,8.71,157,156,154
3407645,vinyl,1,2268,4032,926,1717,1528,2457,4.87,156,155,152
3409153,vinyl,1,2268,4032,917,1736,1550,2589,5.9,159,155,150
3409525,vinyl,1,2268,4032,841,1751,1408,2592,5.21,156,152,148
3409571,vinyl,1,2268,4032,847,1559,1443,2277,4.68,136,130,124
3409591,vinyl,1,2268,4032,841,1578,1471,2350,5.32,138,132,128
3409600,vinyl,1,2268,4032,828,1569,1458,2337,5.29,134,129,125
3409616,vinyl,1,2268,4032,835,1613,1471,2388,5.39,139,133,129
3409622,vinyl,1,2268,4032,844,1682,1478,2452,5.34,140,134,129
3409677,vinyl,1,2268,4032,840,1585,1458,2274,4.66,149,142,135
3409688,vinyl,1,2268,4032,847,1673,1440,2347,4.37,150,143,137
3409696,vinyl,1,2268,4032,820,1662,1419,2341,4.45,143,136,130
3409707,vinyl,1,2268,4032,816,1638,1408,2309,4.34,149,143,137
3409721,vinyl,1,2268,4032,838,1676,1433,2347,4.37,147,140,133
3409735,vinyl,1,2268,4032,535,1292,1398,2092,7.55,148,128,114
3409746,vinyl,1,2268,4032,898,1597,1446,2300,4.21,136,129,123
3409757,vinyl,1,2268,4032,895,1603,1440,2299,4.15,137,130,124
3409776,vinyl,1,2268,4032,860,1641,1402,2331,4.09,133,126,120
3409795,vinyl,1,2268,4032,964,1244,1471,1773,2.93,170,157,146
3409814,vinyl,1,2268,4032,895,1610,1436,2303,4.1,135,128,122
3409825,vinyl,1,2268,4032,888,1641,1433,2334,4.13,133,127,121
3410081,vinyl,1,2268,4032,734,1468,1260,2016,3.15,157,140,127
