imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3403788,glass,1,4032,2272,1435,972,2672,1185,2.88,156,164,169
3404512,glass,1,2268,4032,990,1862,1503,2267,2.27,143,151,157
3407424,glass,1,2268,4032,1021,1506,1405,2174,2.81,150,152,153
3407676,glass,1,2268,4032,964,1874,1361,2410,2.33,145,152,158
3408682,glass,1,2268,4032,888,1386,1373,2826,7.64,159,164,168
3408719,glass,1,2268,4032,895,1682,1452,2611,5.66,141,147,151
3408793,glass,1,2268,4032,891,1654,1493,2744,7.18,146,151,156
3408806,glass,1,2268,4032,920,1849,1288,2536,2.76,157,162,167
3408879,glass,1,2268,4032,857,1531,1515,2964,10.31,156,161,164
3408933,glass,1,2268,4032,733,1613,1435,2721,8.51,160,164,168
3409013,glass,1,2268,4032,944,1458,1404,2794,6.72,144,150,155
3409105,glass,1,2268,4032,929,1282,1339,2627,6.03,155,160,165
3409774,glass,1,2988,5312,1140,1573,1710,3054,5.32,149,152,154
3409789,glass,1,2268,4032,844,1899,1443,2397,3.26,131,135,140
3412229,glass,1,2268,4032,1077,1566,1395,2693,3.92,152,154,156
3412361,glass,1,2268,4032,1021,1452,1344,2504,3.72,138,140,143
3412486,glass,1,2268,4032,989,1361,1288,2498,3.72,140,142,145
3414589,glass,1,4032,2272,1395,930,2479,1355,5.03,135,140,142
3414707,glass,1,2272,4032,989,1361,1415,2781,6.6,131,137,137
3414906,glass,1,2560,1440,1042,602,1612,784,2.81,124,132,135
3414953,glass,1,1440,2560,600,856,788,1470,3.13,135,144,147
3415151,glass,1,2272,4032,926,1676,1871,1924,2.56,135,137,138
3416918,glass,1,2268,4032,841,1443,1484,2718,8.97,127,140,149
3419475,glass,1,2268,4032,1058,1824,1468,2419,2.67,119,140,164
3419566,glass,1,2268,4032,1002,1786,1386,2466,2.86,126,148,170
3421156,glass,1,2272,4032,775,2013,1623,2457,4.11,136,137,138
3421923,glass,1,2268,4032,951,1418,1213,2362,2.7,123,137,154
3422110,glass,1,2610,4640,1170,400,1711,2360,8.76,145,148,146
3423742,glass,1,2250,4000,1041,1419,1391,2516,4.27,120,127,133
3429093,glass,1,2268,4032,891,1148,1468,2407,7.94,153,154,156
3429234,glass,1,2268,4032,913,1386,1490,2519,7.15,153,158,159
3429254,glass,1,2268,4032,747,1701,1301,2454,4.56,156,160,161
3429309,glass,1,2268,4032,895,1550,1421,2380,4.77,158,162,163
3429415,glass,1,2268,4032,885,1477,1436,2199,4.35,156,160,161
3429464,glass,1,2268,4032,994,1543,1290,2531,3.2,146,155,162
3429485,glass,1,2268,4032,851,1500,1528,2592,8.08,148,148,149
3436063,glass,1,2268,4032,847,1638,1487,2183,3.81,124,146,165
3446471,glass,1,2268,4032,945,1896,1452,2385,2.71,144,151,162
3457576,glass,1,2268,4032,800,1156,1118,1830,2.34,135,161,177
3473874,glass,1,2268,4032,910,1912,1342,2331,1.98,130,143,155
3498596,glass,1,2250,4000,1006,1709,1328,2428,2.57,130,132,138
3525868,glass,1,2268,4032,822,1629,1528,2589,7.41,137,148,158
3552163,glass,1,2268,4032,910,1348,1324,2905,7.05,131,136,143
3579193,glass,1,2268,4032,866,1263,1361,2441,6.38,145,146,146
3589914,glass,1,1440,2560,554,852,830,1518,4.99,136,146,148
3601869,glass,1,2268,4032,926,1449,1298,2470,4.15,137,157,176
3602162,glass,1,2250,4000,947,1372,1275,2434,3.87,140,142,153
3605475,glass,1,2268,4032,791,1582,1515,2139,4.41,147,157,163
3608216,glass,1,2272,4032,901,1279,1346,2403,5.46,141,155,175
3609332,glass,1,2268,4032,810,1770,1351,2315,3.22,126,147,176
3653388,glass,1,1440,2560,635,812,834,1196,2.07,132,147,158
3654934,glass,1,2268,4032,793,1630,1469,2532,6.67,129,133,136
3655163,glass,1,2268,4032,967,1247,1468,2791,8.46,143,146,152
3655816,glass,1,2268,4032,721,1282,1188,2788,7.69,128,133,140
3655845,glass,1,2268,4032,899,1278,1333,2778,7.12,153,158,164
3658371,glass,1,2268,4032,787,1255,1291,2606,7.45,132,136,142
3660983,glass,1,2268,4032,794,1281,1474,2574,9.61,129,133,139
3671111,glass,1,2252,4000,981,1459,1215,2353,2.32,160,160,162
3671668,glass,1,3184,5664,1446,1774,1928,3199,3.81,135,137,140
3679677,glass,1,2268,4032,1002,1651,1295,2281,2.02,145,157,169
3686539,glass,1,2322,4128,543,1578,1782,2322,9.62,145,147,152
3692884,glass,1,2268,4032,646,1619,1720,2117,5.85,155,158,159
3709651,glass,1,2250,4000,1022,1744,1359,2625,3.3,133,137,142
3722998,glass,1,2322,4128,980,1967,1448,2393,2.08,150,152,153
3742590,glass,1,2268,4032,958,1106,1436,2687,8.26,121,130,134
3749334,glass,1,2268,4032,921,1471,1336,2556,4.92,151,156,158
3760673,glass,1,2268,4032,828,1553,1393,2862,8.09,152,159,164
3761720,glass,1,2268,4032,920,1118,1351,2374,5.92,159,165,171
3772691,glass,1,2268,4032,954,1370,1332,2148,3.22,131,148,163
3772718,glass,1,2268,4032,1030,1377,1402,2262,3.6,145,159,173
3784937,glass,1,2268,4032,782,1655,1607,2273,5.58,148,153,153
3791003,glass,1,2250,4000,909,1200,1338,2684,7.07,141,145,145
3792081,glass,1,4032,2268,1840,360,2844,1262,9.9,150,164,176
3802273,glass,1,2250,4000,1001,1368,1282,2415,3.27,149,154,154
