imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio
3403540,pack,1,2272,4032,926,1682,1248,2284,2.12
3403658,can,1,2272,4032,999,1701,1295,2224,1.69
3403788,glass,1,4032,2272,1435,972,2672,1185,2.88
3403841,paper,1,2268,4032,860,1663,1515,2419,5.42
3403871,paper,1,2268,4032,861,1683,1493,2445,5.27
3403971,paper,1,2268,4032,684,1553,1676,2400,9.19
3404044,plastic,1,2592,4608,868,2225,1534,3103,4.9
3404065,can,1,2268,4032,1018,1720,1284,2279,1.63
3404070,can,1,2268,4032,961,1603,1356,2047,1.92
3404106,paper,1,2268,4032,961,1559,1425,2595,5.26
3404111,paper,1,2268,4032,662,1345,1588,2660,13.32
3404138,pack,1,2268,4032,1068,1739,1320,2177,1.21
3404188,paper,1,2268,4032,1005,1550,1348,2331,2.93
3404200,plastic,1,2272,4032,920,1852,1440,2199,1.97
3404245,plastic,1,2268,4032,1036,1676,1307,2322,1.91
3404247,plastic,1,2272,4032,1059,1862,1379,2190,1.15
3404277,can,1,2268,4032,643,1761,1729,2401,7.6
3404282,paper,1,2268,4032,624,1414,1643,2634,13.59
3404290,plastic,1,4032,2272,1944,1065,2192,1314,0.67
3404346,paper,1,2268,4032,684,1591,1629,2473,9.11
3404349,pet,1,2268,4032,806,1578,1203,2347,3.34
3404385,pet,1,2268,4032,1096,1502,1383,2388,2.78
3404388,vinyl,1,4032,2268,1192,594,2455,1362,10.61
3404394,pet,1,2268,4032,1002,1692,1216,2350,1.54
3404420,paper,1,2250,4000,628,1425,1631,2186,8.48
3404442,can,1,2268,4032,749,1450,1521,2564,9.4
3404444,plastic,1,2268,4032,778,1572,1433,2255,4.89
3404453,can,1,2268,4032,1046,1622,1332,2208,1.83
3404458,plastic,1,2268,4032,829,1674,1537,2161,3.77
3404488,paper,1,2250,4000,613,1312,1628,2409,12.37
3404489,can,1,2268,4032,967,1452,1298,2208,2.74
3404512,glass,1,2268,4032,990,1862,1503,2267,2.27
3404517,paper,1,2268,4032,764,1270,1720,2552,13.4
3404521,can,1,2268,4032,987,1624,1285,2252,2.05
3404522,vinyl,1,1836,3264,490,765,1336,2014,17.63
3404551,paper,1,2620,4656,953,1848,1696,2877,6.27
3404605,vinyl,1,2268,4032,740,1314,1556,2312,8.91
3404633,paper,1,2268,4032,662,1408,1490,2567,10.49
3404655,paper,1,2268,4032,775,1515,1487,2457,7.33
3404681,vinyl,1,2268,4032,737,1268,1578,2678,12.97
3404688,plastic,1,2268,4032,775,636,1622,1799,10.77
3404695,paper,1,2268,4032,879,1751,1386,2463,3.95
3404702,pack,1,2268,4032,964,1792,1222,2170,1.07
3404722,paper,1,4032,2268,1625,649,2243,1465,5.51
3404745,paper,1,2268,4032,787,1559,1433,2426,6.12
3404761,paper,1,2620,4656,1060,1935,1615,2741,3.67
3404766,plastic,1,2268,4032,980,1742,1446,2422,3.47
3404790,paper,1,2268,4032,614,1358,1531,2539,11.84
3404820,glass,1,2268,4032,964,1695,1241,2718,3.1
3404821,plastic,1,2268,4032,750,747,1320,1811,6.63
3404832,paper,1,2268,4032,812,1565,1440,2435,5.97
3404838,paper,1,2268,4032,547,1245,1873,3067,26.42
3404850,pack,1,2250,4000,666,1428,1575,2284,8.65
3404862,paper,1,2268,4032,639,1531,1575,2240,7.26
3404879,paper,1,2268,4032,725,1402,1515,2470,9.23
3404919,paper,1,1836,3264,525,1382,1295,2104,9.28
3404954,paper,1,2268,4032,750,1373,1440,2032,4.97
3404972,vinyl,1,2250,4000,822,1281,1569,2238,7.94
3404995,vinyl,1,2268,4032,816,1506,1550,2492,7.91
3404997,paper,1,2268,4032,838,1493,1307,2161,3.43
3405000,paper,1,2268,4032,866,1487,1599,2499,8.11
3405024,can,1,2268,4032,800,1676,1336,2444,4.5
3405025,pet,1,4032,2268,1732,740,1994,1566,2.37
3405043,paper,1,2268,4032,961,1254,1367,2255,4.44
3405046,paper,1,2268,4032,859,1820,1377,2350,3.0
3405056,paper,1,2268,4032,806,1578,1584,2170,5.04
3405059,paper,1,2268,4032,649,1638,1546,2637,9.8
3405066,can,1,2268,4032,983,1688,1348,2123,1.74
3405075,paper,1,2268,4032,558,1531,1701,2523,12.4
3405083,vinyl,1,1836,3264,666,1357,1221,1785,3.96
3405091,paper,1,2268,4032,832,1468,1452,2413,6.41
3405093,pet,1,2268,4032,718,1755,1459,1995,1.94
3405102,paper,1,2268,4032,777,1543,1451,2051,3.74
3405126,vinyl,1,1836,3264,467,1377,1291,1851,6.52
3405153,paper,1,2268,4032,756,1742,1629,2340,5.71
3405163,vinyl,1,2268,4032,630,1191,1644,2432,13.76
3405168,paper,1,2268,4032,960,1673,1265,2208,1.78
3405173,pack,1,2268,4032,779,1676,1455,2003,2.42
3405178,paper,1,2268,4032,866,1967,1311,2136,0.82
3405185,pack,1,2268,4032,1030,1745,1323,2040,0.95
3405186,paper,1,2268,4032,805,1548,1489,2515,7.23
3405203,pack,1,2268,4032,922,1562,1711,2002,3.8
3405207,paper,1,2268,4032,683,1550,1492,2353,7.1
3405232,paper,1,2268,4032,872,1515,1364,2398,4.75
3405234,can,1,1440,2560,544,1004,869,1663,5.81
3405238,plastic,1,2250,4000,979,1410,1341,2368,3.85
3405241,paper,1,1836,3264,661,1183,1321,1853,7.38
3405244,can,1,2268,4032,934,1141,1410,2560,7.39
3405251,pack,1,2250,4000,686,715,1307,2653,13.37
