imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3404044,plastic,1,2592,4608,868,2225,1534,3103,4.9,141,145,152
3404200,plastic,1,2272,4032,920,1852,1440,2199,1.97,157,163,168
3404245,plastic,1,2268,4032,1036,1676,1307,2322,1.91,144,152,158
3404247,plastic,1,2272,4032,1059,1862,1379,2190,1.15,161,166,170
3404290,plastic,1,4032,2272,1944,1065,2192,1314,0.67,160,165,169
3404444,plastic,1,2268,4032,778,1572,1433,2255,4.89,143,151,157
3404458,plastic,1,2268,4032,829,1674,1537,2161,3.77,172,179,184
3404688,plastic,1,2268,4032,775,636,1622,1799,10.77,130,144,159
3404766,plastic,1,2268,4032,980,1742,1446,2422,3.47,133,139,145
3404821,plastic,1,2268,4032,750,747,1320,1811,6.63,152,163,174
3405238,plastic,1,2250,4000,979,1410,1341,2368,3.85,134,138,147
3405252,plastic,1,2268,4032,1118,1804,1323,2193,0.87,201,204,206
3405312,plastic,1,2268,4032,939,1165,1288,2672,5.75,168,173,174
3405424,plastic,1,2268,4032,963,1501,1193,2253,1.89,110,130,152
3405467,plastic,1,2268,4032,765,816,1613,2750,17.93,178,183,184
3405489,plastic,1,2268,4032,945,1606,1288,1944,1.27,138,147,158
3405529,plastic,1,2268,4032,860,1481,1354,1950,2.53,139,148,159
3405602,plastic,1,2250,4000,859,1647,1403,2206,3.38,140,144,153
3405664,plastic,1,2268,4032,860,1852,1550,2463,4.61,191,196,200
3405671,plastic,1,2268,4032,1100,1459,1327,1900,1.09,200,203,206
3405720,plastic,1,2268,4032,593,1579,1598,2365,8.64,107,132,159
3405728,plastic,1,2322,4128,888,1542,1407,2548,5.45,145,145,146
3405738,plastic,1,2268,4032,676,1455,1564,2243,7.65,149,162,174
3405817,plastic,1,2268,4032,863,1833,1424,2492,4.04,148,154,159
3405844,plastic,1,2268,4032,954,1537,1161,2197,1.49,101,122,148
3405896,plastic,1,2268,4032,967,1644,1339,2101,1.86,198,201,203
3405899,plastic,1,2268,4032,816,1370,1503,2366,7.48,142,150,156
3405994,plastic,1,2250,4000,971,1715,1207,2231,1.35,143,146,156
3405996,plastic,1,2250,4000,1019,1688,1349,2311,2.28,144,147,156
3406017,plastic,1,2268,4032,841,1698,1430,2331,4.08,89,105,124
3406188,plastic,1,2268,4032,898,1632,1402,2296,3.66,104,124,147
3406318,plastic,1,2268,4032,743,1881,1553,2457,5.1,144,152,158
3406445,plastic,1,2268,4032,825,1761,1405,2337,3.65,150,157,161
3406559,plastic,1,4032,2268,1647,847,2448,1654,7.07,168,170,171
3406594,plastic,1,2268,4032,847,1654,1528,2331,5.04,167,169,170
3406650,plastic,1,2268,4032,910,1537,1468,2255,4.38,170,172,173
3406687,plastic,1,2268,4032,879,1594,1490,2378,5.24,155,158,159
3406833,plastic,1,2268,4032,633,1285,1786,2435,14.5,165,167,168
3407018,plastic,1,2268,4032,835,1956,1443,2340,2.55,110,127,155
3407237,plastic,1,2268,4032,1002,1632,1298,2325,2.24,118,131,142
3407251,plastic,1,2268,4032,920,1966,1421,2400,2.38,110,129,158
3407498,plastic,1,2268,4032,472,1424,1818,2731,19.24,131,140,150
3407519,plastic,1,2268,4032,485,1228,1767,2504,17.89,127,137,148
3407539,plastic,1,2268,4032,472,1282,1855,2614,20.14,125,133,142
3407554,plastic,1,2268,4032,504,1279,1802,2552,18.07,129,138,150
3407574,plastic,1,2268,4032,469,1203,1761,2466,17.84,132,141,150
3407629,plastic,1,1836,3264,617,1298,1377,2114,10.35,86,123,149
3407642,plastic,1,2268,4032,665,1597,1553,2419,7.98,175,181,182
3407652,plastic,1,1836,3264,732,1341,1160,1844,3.59,89,124,150
3407672,plastic,1,2620,4656,1146,1921,1532,2608,2.17,120,127,138
3407792,plastic,1,2268,4032,1017,1755,1320,2385,2.09,143,151,157
3407842,plastic,1,2268,4032,989,1468,1276,2315,2.66,151,156,161
3407849,plastic,1,2268,4032,520,1575,1846,2385,11.75,128,136,143
3407868,plastic,1,2268,4032,504,1446,1874,2277,12.45,124,132,139
3407882,plastic,1,2268,4032,466,1399,1840,2233,12.53,123,131,138
3407884,plastic,1,2268,4032,920,1566,1288,2290,2.91,152,156,161
3407901,plastic,1,2268,4032,501,1411,1868,2249,12.53,124,132,138
3407914,plastic,1,2268,4032,504,1427,1877,2274,12.72,121,128,135
3408035,plastic,1,2268,4032,876,1584,1480,2570,6.51,167,175,183
3408093,plastic,1,4032,2272,1651,870,2300,1346,3.37,106,124,138
3408204,plastic,1,2268,4032,775,1581,1427,2681,7.84,118,125,131
3408254,plastic,1,2268,4032,917,1616,1465,2504,5.32,143,149,156
3408257,plastic,1,2268,4032,592,1509,1663,2460,11.14,129,136,144
3408260,plastic,1,2268,4032,810,1115,1572,2044,7.74,146,148,150
3408279,plastic,1,2268,4032,599,1537,1676,2495,11.28,127,135,142
3408296,plastic,1,2268,4032,564,1572,1707,2586,12.67,124,131,139
3408302,plastic,1,2268,4032,929,1666,1481,2536,5.25,145,151,158
3408314,plastic,1,2268,4032,586,1537,1684,2512,11.71,125,132,139
3408331,plastic,1,2268,4032,583,1581,1673,2545,11.49,125,133,141
3408351,plastic,1,2268,4032,964,1685,1427,1984,1.51,162,177,191
3408367,plastic,1,2272,4032,873,1808,1576,2296,3.74,111,122,131
3408442,plastic,1,2268,4032,1021,1584,1367,2114,2.01,111,125,139
3408499,plastic,1,2268,4032,986,1641,1225,2274,1.65,113,126,137
3408541,plastic,1,2268,4032,954,1550,1336,2123,2.39,152,159,169
3408556,plastic,1,2268,4032,580,1468,1950,2640,17.56,157,160,164
3408561,plastic,1,2268,4032,1011,1669,1348,2173,1.86,133,143,155
3408565,plastic,1,2268,4032,999,1666,1317,2145,1.67,139,148,158
3408581,plastic,1,2268,4032,1008,1673,1339,2174,1.81,145,153,163
3408590,plastic,1,2268,4032,999,1701,1336,2199,1.84,141,149,159
3408600,plastic,1,2272,4032,876,1635,1516,2435,5.59,140,150,158
3408602,plastic,1,2268,4032,772,1411,1525,2558,9.44,132,140,146
3408637,plastic,1,1836,3264,691,1252,1193,1752,4.19,96,132,158
3408647,plastic,1,2268,4032,863,1455,1446,2589,7.23,184,188,190
3408662,plastic,1,2268,4032,718,1666,1600,2539,8.42,118,128,133
3408711,plastic,1,1836,3264,558,1227,1306,1933,8.81,113,145,165
3408725,plastic,1,2268,4032,709,1433,1659,2291,8.91,173,178,182
3408751,plastic,1,2268,4032,822,1506,1222,2029,2.29,122,135,146
3408758,plastic,1,2268,4032,986,1458,1262,1824,1.1,152,170,187
3408788,plastic,1,2268,4032,1084,1739,1348,2227,1.41,168,184,198
3408811,plastic,1,1440,2560,567,1021,1012,1569,6.62,75,72,69
3408813,plastic,1,2268,4032,983,1462,1244,2151,1.97,124,137,147
3408815,plastic,1,2268,4032,961,1606,1235,1953,1.04,154,172,190
3408830,plastic,1,2268,4032,1093,1751,1320,2277,1.31,154,171,188
3408833,plastic,1,2268,4032,743,1528,1550,2403,7.72,145,149,152
3408860,plastic,1,2250,4000,691,1516,1300,2309,5.37,146,149,152
3408861,plastic,1,2268,4032,904,1792,1282,2236,1.84,148,164,181
3408903,plastic,1,2268,4032,832,1591,1433,2479,5.84,150,153,158
3408904,plastic,1,2250,4000,875,1753,1419,2312,3.38,146,148,151
3408950,plastic,1,2250,4000,794,1341,1278,2172,4.47,146,149,152
3408981,plastic,1,1836,3264,459,1196,1334,2043,12.37,87,125,148
3408986,plastic,1,2268,4032,863,1830,1418,2312,2.93,154,159,164
3408998,plastic,1,1836,3264,566,1405,1316,1961,6.96,97,133,154
3409061,plastic,1,2268,4032,844,1550,1348,2432,4.86,112,115,120
3409106,plastic,1,4032,2268,1613,759,2372,1528,6.38,110,131,154
3409118,plastic,1,2268,4032,583,1503,1566,2574,11.51,149,159,168
3409208,plastic,1,2268,4032,832,1171,1454,2396,8.33,119,125,129
3409225,plastic,1,2268,4032,825,1216,1424,2403,7.78,112,119,127
3409259,plastic,1,2268,4032,734,1465,1424,2158,5.23,179,184,186
3409280,plastic,1,2268,4032,743,1087,1525,2678,13.61,95,100,108
3409298,plastic,1,2268,4032,791,1014,1528,2501,11.98,95,100,107
3409317,plastic,1,2268,4032,759,1027,1531,2792,14.9,98,102,111
3409336,plastic,1,2268,4032,828,1125,1405,2763,10.34,96,101,109
3409350,plastic,1,2988,5312,876,1868,1938,2635,5.13,122,133,142
3409360,plastic,1,2252,4000,965,1647,1302,1981,1.25,105,114,126
3409380,plastic,1,2268,4032,806,1125,1367,2687,9.58,94,99,108
3409383,plastic,1,2272,4032,974,1777,1317,2454,2.53,129,136,144
3409395,plastic,1,2268,4032,567,1462,1799,3123,22.38,155,151,148
3409429,plastic,1,1836,3264,678,1265,1214,1808,4.86,107,143,166
3409462,plastic,1,2268,4032,882,1676,1465,2290,3.91,91,94,98
3409494,plastic,1,2988,5312,564,1735,2092,2780,10.06,101,107,112
3409593,plastic,1,2268,4032,791,1707,1594,2066,3.15,139,144,145
3409607,plastic,1,2272,4032,955,1386,1327,2507,4.55,133,144,157
3409662,plastic,1,2268,4032,794,797,1540,2696,15.49,104,111,120
3409713,plastic,1,2268,4032,869,939,1383,2832,10.64,103,108,115
3409855,plastic,1,2322,4128,1061,1577,1367,2445,2.77,191,201,207
3409992,plastic,1,2268,4032,693,1777,1512,2460,6.12,126,128,134
3410055,plastic,1,4032,2268,1424,681,2614,1534,11.1,137,147,155
3410185,plastic,1,2250,4000,925,1634,1253,2222,2.14,141,145,156
3410283,plastic,1,2268,4032,976,1515,1521,2388,5.2,161,163,164
3410357,plastic,1,2268,4032,954,1663,1342,2051,1.65,163,165,167
3410396,plastic,1,2268,4032,810,1468,1484,1978,3.76,135,138,139
3411145,plastic,1,2268,4032,1062,1544,1222,2249,1.23,154,157,159
3411172,plastic,1,1602,2848,743,414,883,2198,5.47,163,164,165
3411303,plastic,1,4000,2250,1141,850,2642,1575,12.09,104,107,111
3411370,plastic,1,2250,4000,1012,1300,1203,2341,2.21,104,108,113
3411393,plastic,1,2250,4000,684,1734,1375,2100,2.81,99,104,111
3411449,plastic,1,2250,4000,887,1644,1422,2300,3.9,102,106,111
3411474,plastic,1,4032,2268,1285,665,2529,1534,11.82,127,133,136
3411576,plastic,1,4000,2250,1625,750,2022,1441,3.05,107,110,114
3411617,plastic,1,2250,4000,941,1769,1406,2228,2.37,116,121,127
3411639,plastic,1,2268,4032,595,1622,1767,2580,12.28,167,182,198
3411664,plastic,1,2250,4000,441,1565,1489,2185,7.22,101,105,111
3411688,plastic,1,2268,4032,702,1556,1616,2438,8.82,154,158,160
3411691,plastic,1,2250,4000,831,1353,1372,2409,6.35,108,109,111
3411712,plastic,1,2250,4000,822,1394,1375,2491,6.74,115,119,125
3411734,plastic,1,2268,4032,973,1669,1493,2038,2.1,182,192,205
3411739,plastic,1,2250,4000,610,1416,1549,2334,9.58,101,106,112
3411757,plastic,1,2250,4000,919,1339,1486,2360,6.43,102,106,112
3411774,plastic,1,2592,4608,1141,2236,1462,2833,1.6,137,139,145
3411795,plastic,1,4000,2250,1759,841,2369,1331,3.32,115,118,122
3411838,plastic,1,2250,4000,813,1662,1394,2350,4.44,100,104,111
