imagePath,label,Shape_num,width,height,point1_x,point1_y,point2_x,point2_y,ascept_ratio,BgMeanR,BgMeanG,BgMeanB
3404444,plastic,1,2268,4032,778,1572,1433,2255,4.89,143,151,157
3404766,plastic,1,2268,4032,980,1742,1446,2422,3.47,133,139,145
3405529,plastic,1,2268,4032,860,1481,1354,1950,2.53,139,148,159
3405817,plastic,1,2268,4032,863,1833,1424,2492,4.04,148,154,159
3406445,plastic,1,2268,4032,825,1761,1405,2337,3.65,150,157,161
3407237,plastic,1,2268,4032,1002,1632,1298,2325,2.24,118,131,142
3407792,plastic,1,2268,4032,1017,1755,1320,2385,2.09,143,151,157
3407842,plastic,1,2268,4032,989,1468,1276,2315,2.66,151,156,161
3407884,plastic,1,2268,4032,920,1566,1288,2290,2.91,152,156,161
3408541,plastic,1,2268,4032,954,1550,1336,2123,2.39,152,159,169
3408751,plastic,1,2268,4032,822,1506,1222,2029,2.29,122,135,146
3408813,plastic,1,2268,4032,983,1462,1244,2151,1.97,124,137,147
3408986,plastic,1,2268,4032,863,1830,1418,2312,2.93,154,159,164
3409593,plastic,1,2268,4032,791,1707,1594,2066,3.15,139,144,145
3410396,plastic,1,2268,4032,810,1468,1484,1978,3.76,135,138,139
3412032,plastic,1,2268,4032,901,1622,1271,2419,3.22,148,152,154
3412703,plastic,1,2268,4032,1017,1726,1317,2485,2.49,140,150,160
3412715,plastic,1,2268,4032,1027,1710,1336,2482,2.61,138,147,158
3412732,plastic,1,2268,4032,1021,1676,1329,2457,2.63,142,152,162
3412751,plastic,1,2268,4032,1014,1666,1317,2432,2.54,138,148,158
3412764,plastic,1,2268,4032,1033,1635,1339,2407,2.58,136,146,157
3412930,plastic,1,2268,4032,989,1600,1304,2400,2.76,135,147,158
3412936,plastic,1,2268,4032,1014,1569,1323,2350,2.64,134,146,157
3412947,plastic,1,2268,4032,1002,1644,1304,2413,2.54,136,148,158
3412955,plastic,1,2268,4032,1017,1610,1320,2375,2.53,134,146,157
3412971,plastic,1,2268,4032,1027,1647,1339,2426,2.66,134,147,158
3414829,plastic,1,2268,4032,891,1745,1392,2334,3.23,142,152,162
